ReportTitle,Textbox95,Textbox80,Textbox81,Textbox82,Textbox83
QPR for FY 2023-24 National Institutions Oversight Performance  Report as of ( FY 2023-24),Location/s: National,InstitutionType:   National,"Institution:   Correctional Services, Defence, Employment and Labour, Environment, Forestry and Fisheries, Financial and Fiscal Commission, Government Communication and Information System, Government Pension Administration Agency, Government Printing Works, Government Technical Advisory Center, Health",FinancialYear:   FY 2023-24,"Report Printed On:   Monday, September 11, 2023 1:31:52 PM"

Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
,Government Printing Works,National,Financial Services,Financial Services,Quarterly,Percentage of net profit margin achieved,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"10% net
profit margin
achieved",Target Not Achieved,"The DHA discount of R7 462 767 
contributes to the drop in revenue for the quarter. Depreciation has not been loaded into the financial system. The prorated figure of R11 541 762 contributed to the drop in revenue.",N/A,,,"10% net
profit margin
achieved",,,,,,"10% net
profit margin
achieved",,,,,,"10% net
profit margin
achieved",,,,,,"10% net
profit margin
achieved",-,,,,,,,369
,Government Printing Works,National,Manufacturing and Engineering,Manufacturing and Engineering,Quarterly,Percentage of Examination Papers produced that conform to client specifications,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"100% of
examination
papers
produced
that conform
to the client
specifications",100%,N/A,N/A,,,"100% of
examination
papers
produced
that conform
to the client
specifications",,,,,,"100% of
examination
papers
produced
that conform
to the client
specifications",,,,,,"100% of
examination
papers
produced
that conform
to the client
specifications",,,,,,"100% of
examination
papers
produced
that conform
to the client
specifications",-,,,,,,,369
,Government Printing Works,National,Manufacturing and Engineering,Manufacturing and Engineering,Quarterly,Percentage of High Security Certificates produced that conform to client specifications,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"99% of High
Security
Certificates
produced
that conform
to client
specifications",97%,"A customer complained of 100 000 defective certificates from what was reported. Investigation has commenced and corrective action will be effected. It was expected to be measured against last year's 12 705 425 certificates (0.8% defects), however it was only identified in April 2023.",N/A,,,"99% of High
Security
Certificates
produced
that conform
to client
specifications",,,,,,"99% of High
Security
Certificates
produced
that conform
to client
specifications",,,,,,"99% of High
Security
Certificates
produced
that conform
to client
specifications",,,,,,"99% of High
Security
Certificates
produced
that conform
to client
specifications",-,,,,,,,369
,Government Printing Works,National,Manufacturing and Engineering,Manufacturing and Engineering,Quarterly,Percentage of Identity Documents/cards produced that conform to client specifications,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"100% of Identity
Documents/
cards produced
that conform
to client
specifications",100%,N/A,N/A,,,"100% of Identity
Documents/
cards produced
that conform
to client
specifications",,,,,,"100% of Identity
Documents/
cards produced
that conform
to client
specifications",,,,,,"100% of Identity
Documents/
cards produced
that conform
to client
specifications",,,,,,"100% of Identity
Documents/
cards produced
that conform
to client
specifications",-,,,,,,,369
,Government Printing Works,National,Manufacturing and Engineering,Manufacturing and Engineering,Quarterly,Percentage of Travel Documents produced that conform to client specifications,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"100% of Travel
documents
produced
that conform
to client
specifications",100%,N/A,N/A,,,"100% of Travel
documents
produced
that conform
to client
specifications",,,,,,"100% of Travel
documents
produced
that conform
to client
specifications",,,,,,"100% of Travel
documents
produced
that conform
to client
specifications",,,,,,"100% of Travel
documents
produced
that conform
to client
specifications",-,,,,,,,369
,Government Printing Works,National,Office of the CEO,Enterprise Risk Management,Quarterly,Percentage implementation of the Business Continuity Management activities,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"100% BCM 
activities implemented in line with the Risk Management 3 year rolling plan",100% ,N/A,N/A,,,100% BCM activities implemented in line with the Risk Management 3 year rolling plan,,,,,,100% BCM activities implemented in line with the Risk Management 3 year rolling plan,,,,,,100% BCM activities implemented in line with the Risk Management 3 year rolling plan,,,,,,"100% of
Business 
Continuity
Management
activities
implemented",-,,,,,,,369
,Government Printing Works,National,Office of the CEO,Internal Audit,Quarterly,Percentage implementation of the annual Internal Audit Plan,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,20% of the approved annual internal audit plan implemented,20%,N/A,N/A,,,30% of the approved annual internal audit plan implemented,,,,,,30% of the approved annual internal audit plan implemented,,,,,,20% of the approved annual internal audit plan implemented,,,,,,"100% of the
approved
annual internal
audit plan
implemented",-,,,,,,,369
,Government Printing Works,National,Operations Management,Operations Management,Quarterly,Percentage of Government Gazettes produced that conform to client specifications,Non-Standardized,Not  Applicable,Not Applicable,Not Applicable,"100% of
Government
Gazettes
published
that conform
to client
specifications",100%,N/A,N/A,,,"100% of
Government
Gazettes
published
that conform
to client
specifications",,,,,,"100% of
Government
Gazettes
published
that conform
to client
specifications",,,,,,"100% of
Government
Gazettes
published
that conform
to client
specifications",,,,,,"100% of
Government
Gazettes
published
that conform
to client
specifications",-,,,,,,,369
,Government Technical Advisory Center,National,Programme 1:  Management and support services,Programme 1:  Management and support services,Quarterly,1.1.1 Unqualified audit opinion obtained,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,n/a,n/a,n/a,n/a,,,n/a,,,,,,Unqualified audit opinion,,,,,,n/a,,,,,,Unqualified audit opinion,-,,,,,,,369
,Government Technical Advisory Center,National,Programme 1:  Management and support services,Programme 1:  Management and support services,Quarterly,1.1.3 Percentage of invoices received and paid in 30 days,Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Governance and Administration cluster,100 %,99.7 %,Underperformance is attributed to delays in signing-off two invoices.,The S&T invoice register is being checked on a weekly basis. An additional column was added to the RFQ register to follow up on invoices and payment dates.,,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,0 %,,,,,,,369
,Government Technical Advisory Center,National,Programme 2:  Technical and advisory services,Programme 2:  Technical and advisory services,Annually,2.1.1. Percentage of project appraisal reports completed,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,100 %,,,,,,,,369
,Government Technical Advisory Center,National,Programme 2:  Technical and advisory services,Programme 2:  Technical and advisory services,Annually,2.2.1 Percentage of approved institutional development support projects completed on time and within budget,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,100 %,,,,,,,,369
,Government Technical Advisory Center,National,Programme 2:  Technical and advisory services,Programme 2:  Technical and advisory services,Annually,2.4.1 Percentage of spending review capacity building Initiatives delivered,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,100 %,,,,,,,,369
,Government Technical Advisory Center,National,Programme 2:  Technical and advisory services,Programme 2:  Technical and advisory services,Quarterly,2.3.1 Number of PPP capacity-building events held,Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",2,2,n/a,n/a,,,1,,,,,,2,,,,,,1,,,,,,6,2,,,,,,,369
,Government Technical Advisory Center,National,Programme 2:  Technical and advisory services,Programme 2:  Technical and advisory services,Quarterly,2.3.2 Number of memos submitted for consideration and approval by NT,Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",1,3,Overperformance is attributed to completion of procurement ready projects ahead of the expected time frame. ,n/a,,,2,,,,,,1,,,,,,2,,,,,,6,3,,,,,,,369
,Government Technical Advisory Center,National,Programme 2:  Technical and advisory services,Programme 2:  Technical and advisory services,Quarterly,2.4.2 Number of remuneration reports completed,Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Governance, State Capacity and Institutional Development cluster",0 %,0 %,n/a,n/a,,,2 %,,,,,,0 %,,,,,,2 %,,,,,,4 %,0 %,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 1: ADMINISTRATION ,7.1.3 Sub Programme: Finance,Annually,7.1.3.6 Audit outcome,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,,,,,,,,,,,,Unqualified audit opinion with reduced findings,,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 1: ADMINISTRATION ,7.1.3 Sub Programme: Finance,Annually,7.1.3.7 Percentage of tenders above R30 million awarded to designated groups,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,,,,,,,,,,,,30 %,,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 1: ADMINISTRATION ,7.1.3 Sub Programme: Human Resources ,Quarterly,7.1.3.4 Percentage compliance to the EE Plan for SMS,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",No target set  for Q1 ,No target set for Q1 ,No target set for Q1 ,No target set for Q1 ,,,M=50   F=50,,,,,,,,,,,,M=50   F=50,,,,,,M=50   F=50,-,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 1: ADMINISTRATION ,7.1.3 Sub Programme: Human Resources ,Quarterly,7.1.3.3 Percentage of youth employed within the Department,Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",0 %,0 %,No target set for Q1 ,No target set for Q1 ,,,20 %,,,,,,0 %,,,,,,20 %,,,,,,20 %,0 %,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 1: ADMINISTRATION ,7.1.3 Sub Programme: Human Resources ,Quarterly,7.1.3.5 Percentage compliance to the EE plan for PWDs,Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",0 %,0 %,No target set for Q1 ,No target set for Q1 ,,,0.83 %,,,,,,0 %,,,,,,0.83 %,,,,,,0.83 %,0 %,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 1: ADMINISTRATION ,7.1.3 Sub Programme: Information Technology,Quarterly,7.1.3.8 Number of sites where mesh network and Integrated Security System are installed (ISS),Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",0,0,No target set for Q1 ,No target set for Q1 ,,,0,,,,,,5,,,,,,5,,,,,,10,0,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 1: ADMINISTRATION ,7.1.3 Sub Programme: Information Technology,Quarterly,7.1.3.9 Percentage of sites installed with Local Area Network (LAN) infrastructure,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",56 %,52 %,"Cancellation letter was presented to the National Bid Adjudication Committee (NBAC) on the 10/07/2023.  Delay in SCM booking the slot for Bid Evaluation Committee (BEC) committee. 

","SCM to ensure that the National Bid Adjudication Committee (NBAC)sitting takes place as soon as possible. 

",,,58 %,,,,,,60 %,,,,,,62.5 %,,,,,,62.5 %,52 %,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 1: ADMINISTRATION ,7.1.3 Sub Programme: Information Technology,Quarterly,7.1.3.10 Percentage of Information System (IIMS) implemented as per MISSTP,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",16.5 %,9.54 %,"Negotiations with supplier failed to reach a remedial action agreement. The roll out of IIMS has been on hold since May 2022

","Alternative platform to develop IIMS while arbitration process continues.

",,,18 %,,,,,,10 %,,,,,,20.64 %,,,,,,20.64 %,0 %,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 1: ADMINISTRATION ,7.1.3 Sub Programme: Judicial Inspectorate for Correctional Services (JICS),Quarterly,7.1.3.11 Percentage of of correctional facilities and PPPs' facilities inspected on the conditions and treatment of inmates,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",15 %,14.81 %,none ,n/a ,,,30 %,,,,,,41 %,,,,,,56 %,,,,,,56 %,0 %,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 1: ADMINISTRATION ,7.1.3 Sub Programme: Management ,Quarterly,7.1.3.1 Percentage of investigations finalised for reported allegations,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",42 %,50.68 %,Daily monitoring of cases under investigation,n/a ,,,54 %,,,,,,65 %,,,,,,75 %,,,,,,75 %,0 %,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 1: ADMINISTRATION ,7.1.3 Sub Programme: Management ,Quarterly,7.1.3.2 Percentage of officials charged and found guilty for corrupt activities ,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","Justice, Crime Prevention and Security cluster",95 %,100 %,Cases were evaluated before prosecution and thorough preparation prior the hearing was conducted .  ,n/a ,,,95 %,,,,,,95 %,,,,,,95 %,,,,,,95 %,100 %,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 2: INCARCERATION,7.2.3 Sub Programme: Facilities,Annually,7.2.3.4 Number of infrastructure projects completed ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 2: INCARCERATION,7.2.3 Sub Programme: Offender Management,Quarterly,7.2.3.6 Percentage of overcrowding in correctional facilities in excess of approved bedspace capacity,Standardized,Min,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",50 %,43 %,"There has been a reduction of 2 898 inmates between 31
 March and 30 June 2023 due to the continuous implementation of the Overcrowding Reduction Strategy

",n/a ,,,50 %,,,,,,50 %,,,,,,50 %,,,,,,50 %,43 %,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 2: INCARCERATION,7.2.3 Sub Programme: Offender Management,Quarterly,7.2.3.7 Percentage of offenders profiles approved for placement by the Correctional Supervision and Parole Boards (CSPBs),Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",55 %,63.21 %,"CSPB were capacitated to approve more placement as most offenders were timeously subjected to the required interventions in line with the Correctional Sentence plan

",n/a ,,,55 %,,,,,,55 %,,,,,,55 %,,,,,,55 %,0 %,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 2: INCARCERATION,7.2.3 Sub Programme: Remand Detention,Quarterly,7.2.3.5 Percentage of Remand Detainees (RDs) subjected to Continuous Risk Assessment (CRA),Standardized,Max,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",80 %,94.73 %,"Trained personnel and strict monitoring  showed improvement of assessment of Remand Detainees.

",n/a ,,,80 %,,,,,,80 %,,,,,,80 %,,,,,,80 %,0 %,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 2: INCARCERATION,7.2.3 Sub Programme: Security Operations,Annually,7.2.3.3 Percentage of confirmed unnatural deaths in correctional facilities,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,,,,,,,,,,,,0.032 %,,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 2: INCARCERATION,7.2.3 Sub Programme: Security Operations,Quarterly,7.2.3.1 Percentage of inmates who escaped from correctional facilities,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",0.007 %,0.003 %,"Effective implementation of National Escape Prevention Strategy and Conducted National Security Planning Session to tackle security issues in identified Regions.

",n/a ,,,0.015 %,,,,,,0.023 %,,,,,,0.030 %,,,,,,0.030 %,0 %,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 2: INCARCERATION,7.2.3 Sub Programme: Security Operations,Quarterly,7.2.3.2 Percentage of inmates injured as a result of reported assaults in correctional facilities,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",1.12 %,0.57 %,"Effective monitoring of gang related incidents and assault prevention Strategy.

",n/a ,,,2.26 %,,,,,,3.38 %,,,,,,4.50 %,,,,,,4.50 %,0 %,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 3: REHABILITATION,7.3.3 Sub Programme: Correctional Programmes,Quarterly,7.3.3.1 Percentage of sentenced offenders with CSPs who completed correctional programmes,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Justice, Crime Prevention and Security cluster",21 %,25.97 %,"Custodial officials assisted in providing additional capacity to 
facilitate correctional programmes.

",n/a ,,,42 %,,,,,,63 %,,,,,,84 %,,,,,,84 %,0 %,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 3: REHABILITATION,7.3.3 Sub Programme: Offender Development,Annually,7.3.3.9 Grade 12 National Senior Certificate (NSC) pass rate obtained per academic year,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,,,,,,,,,,,,77 %,,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 3: REHABILITATION,7.3.3 Sub Programme: Offender Development,Quarterly,7.3.3.2 Percentage of offenders participating in Long Occupational Skills programmes,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Justice, Crime Prevention and Security cluster",90 %,99.55 %,"Contribution and support obtained through partnership with external stakeholders , e.g. National Skills Fund .  Continuous monitoring and support to the regions.

",n/a ,,,90 %,,,,,,90 %,,,,,,90 %,,,,,,90 %,0 %,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 3: REHABILITATION,7.3.3 Sub Programme: Offender Development,Quarterly,7.3.3.3 Percentage of offenders participating in Short Occupational Skills programmes,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Justice, Crime Prevention and Security cluster",90 %,99.94 %,"Contribution and support obtained through partnership with external stakeholders , e.g. National Skills Fund .  Continuous monitoring and support to the regions.

",n/a ,,,90 %,,,,,,90 %,,,,,,90 %,,,,,,90 %,0 %,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 3: REHABILITATION,7.3.3 Sub Programme: Offender Development,Quarterly,7.3.3.4 Percentage of offenders participating in TVET college programmes,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","Justice, Crime Prevention and Security cluster",90 %,99.30 %,"Contribution and support obtained through partnership with external stakeholders , e.g. Department of Higher Education and Training (DHET).  Continuous monitoring and support to the regions.

",n/a ,,,90 %,,,,,,90 %,,,,,,90 %,,,,,,90 %,0 %,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 3: REHABILITATION,7.3.3 Sub Programme: Offender Development,Quarterly,7.3.3.5 Percentage of offenders participating in agriculture activities,Standardized,Min,"Priority 3: Education, Skills And Health","Justice, Crime Prevention and Security cluster",70 %,65.98 %,"Less offenders allocated to agriculture due to insufficient custodial members to take out the working team as well as the less number of offenders eligible/qualifying to work at agriculture

","""CMC to prioritize classification of offenders eligible to work at agriculture and continue marketing of agriculture within the centres.

Planned meeting to engage the stakeholders on the allocation of offenders and custodial member to take out the working team.
""

",,,70 %,,,,,,70 %,,,,,,70 %,,,,,,70 %,0 %,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 3: REHABILITATION,7.3.3 Sub Programme: Offender Development,Quarterly,7.3.3.6 Percentage of offenders participating in production workshop,Standardized,Min,"Priority 3: Education, Skills And Health","Justice, Crime Prevention and Security cluster",65 %,99.56 %,"The increase in demand for offender uniform resulted in more offenders being allocated to workshops.

",n/a ,,,65 %,,,,,,65 %,,,,,,65 %,,,,,,65 %,0 %,,,,,,,369
Correctional Services,Correctional Services,National,PROGRAMME 3: REHABILITATION,7.3.3 Sub Programme: Offender Development,Quarterly,7.3.3.7 Percentage of offenders participating in General Education and Training (GET) per academic year ,Standardized,Max,"Priority 3: Education, Skills And Health","Justice, Crime Prevention and Security cluster",85 %,104.42 %,"Support visits to Regions were conducted and funding was made available. 

",n/a ,,,85 %,,,,,,85 %,,,,,,85 %,,,,,,85 %,0 %,,,,,,,369
