Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
Police,South African Police Service,National,Programme 2: Visible Policing,Crime Prevention,Quarterly,Percentage of functional police stations that have functional Community Police Forums,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","99,57%","99,91% (1 156 functional CPFs from a total of 1 157 functional police stations have functional CPFs).","Boetsap, Kubusiedrift and Mokgopong Police Stations are exempted from having a CPF, as they have no community in the policing precinct, only seasonal workers. Beitbrigde SAPS is not functional as yet.",Not applicable,,,"99,57%",,,,,,"99,57%",,,,,,"99,57%",,,,,,"99,57%",-,,,,,,,389
Police,South African Police Service,National,Programme 2: Visible Policing,Crime Prevention,Quarterly,Percentage reduction in the number of reported contact crimes,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",147 701,"Reported contact crimes increased, by 5,4% from 141 934 during the 1st quarter, in 2022/23, compared to 149 554, during the 1st quarter 1, in 2023/24.","The reported incidence of contact crime may not be a direct or reliable indicator of police performance. While it is important to track crime rates, it is essential to consider various factors that can affect these statistics. Crime rates are influenced by a range of complex factors and in particular violent or contact crime, including socio-economic conditions, inequality, education levels, drug abuse, community dynamics and more. Addressing these underlying causes of crime requires long-term economic, social and developmental interventions that extend beyond the scope of immediate police responses.
Police responses primarily focus on dealing with the symptoms of the problem by enforcing the law, apprehending offenders and maintaining public order. While these efforts are necessary, they are not sufficient to address the root causes of crime, comprehensively.","The SAPS initiated Operation Shanela, in May 2023, based on an Enhanced Crime Prevention and Combating Action Plan (ICPCAP). The Plan and Operation  Shanela provides for coordinated weekly mandatory (simultaneous and high density) integrated and multidisciplinary operations in priority police station areas. Operation Shanela and the ICPCAP also provide for increased community mobilisation against crime in collaboration with CPFs, focusing on the top 30 national and top 10 provincial police stations contributing to the highest reported incidence of contact crime and Gender-Based Violence (GBV). In addition, Operation Shanela targets wanted suspects sought for GBV.",,,295 402,,,,,,443 103,,,,,,590 803,,,,,,"12,15% (590 803)",-,,,,,,,389
Police,South African Police Service,National,Programme 2: Visible Policing,Specialised Interventions,Quarterly,"Percentage of medium to high-risk incidents responded to, in relation to requests received by the NIU",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",100%,100% (301),Not applicable ,Not applicable ,,,100%,,,,,,100%,,,,,,100%,,,,,,100%,-,,,,,,,389
Police,South African Police Service,National,Programme 2: Visible Policing,Specialised Interventions,Quarterly,"Percentage of medium to high-risk incidents responded to, in relation to requests received by the STF",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",100%,100% (93),Not applicable ,Not applicable ,,,100%,,,,,,100%,,,,,,100%,,,,,,100%,-,,,,,,,389
Police,South African Police Service,National,Programme 2: Visible Policing,Specialised Interventions,Quarterly,"Percentage of peaceful crowd management incidents policed, in relation to requests received",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",100%,100% (1 300),Not applicable ,Not applicable,,,100%,,,,,,100%,,,,,,100%,,,,,,100%,-,,,,,,,389
Police,South African Police Service,National,Programme 2: Visible Policing,Specialised Interventions,Quarterly,"Percentage of unrest crowd management incidents stabilised, in relation to requests received",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",100%,100% (526),Not applicable ,Not applicable ,,,100%,,,,,,100%,,,,,,100%,,,,,,100%,-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Crime Investigations,Annually,Percentage of identified drug syndicates neutralised with arrests,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,,,,,,,,,,,,70%,,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Crime Investigations,Annually,"Percentage of identified organised criminal groups that are related to prioritised crime threats, neutralised with arrests",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,,,,,,,,,,,,70%,,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Crime Investigations,Quarterly,Detection rate for contact crimes,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","51,25%","45,77% (419 488 from a total of 916 485).","Legal limitation (arrests without warrants) - Most of contact crimes include Grievous Body Harm (GBH) and assault common, in which two case laws were cited - Rex vs. Jones and Bobbert vs. Minister of Law and Order). GBH cases and some assault common cases has to be decided by the Senior Public Prosecutor (SPP).
High ratio of case dockets per detective, as a result of employee attrition is not conducive to effective investigation.","Management of forensic investigative leads for long outstanding murder cases.
Tracking and tracing of wanted suspects.
Close cooperation with the Department of Health and the National Prosecuting Authority to fast-track outstanding backlogs. 
Recruit, activate and utilise informers to identify suspects.",,,"51,25%",,,,,,"51,25%",,,,,,"51,25%",,,,,,"51,25%",-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Crime Investigations,Quarterly,Detection rate for contact crimes against children (below 18 years),Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","65,25%","62,70% (39 509 from a total of 63 016).","Young victims unable to disclose are referred to Forensic Social Workers (FSW) for assessment and statement taking.
Referrals to external role players for counselling cause delays in perpetrator identification.","Unforeseen incidents (the FSW assessment with the child may require up to six sessions).
Continuous engagement with the relevant stakeholders.",,,"65,25%",,,,,,"65,25%",,,,,,"65,25%",,,,,,"65,25%",-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Crime Investigations,Quarterly,Detection rate for contact crimes against women (18 years and above),Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","71,25%","69,69% (165 894 from a total of 238 041).","Shortage of personnel, in terms of the fixed establishment.
Resignation and retirement of members, which increases the workload on others.
Shortage of vehicles at units, due to mechanical issues, high mileage and lengthy repairs at the garages.
Unknown whereabouts of fleeing suspects following the commission of the offence.","FCS Units to continually recruit new members.
Procurement of new vehicles. 
Maintain regular contact with the provincial supply chain management to expedite vehicle repairs.
Utilisation of provincial tracking teams and communication liaison officers, CPF, etc.",,,"71,25%",,,,,,"71,25%",,,,,,"71,25%",,,,,,"71,25%",-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Crime Investigations,Quarterly,Percentage compliance with the taking of buccal samples from schedule 8 arrested offenders,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",100%,"81,00% (65 045 from a total of 80 306).","Lack of buccal kits; cases are withdrawn prior to obtaining a buccal sample.
Integrity of data, due to load shedding.",Daily monitoring of stock levels in conjunction with SCM and to ensure systems are accurately updated.,,,100%,,,,,,100%,,,,,,100%,,,,,,100%,-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Crime Investigations,Quarterly,Percentage of crime-to-crime DNA leads finalised,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","11,45%","25,11% (164 from a total of 653).",Structured monitoring system implemented at divisional and provincial levels.,Not applicable,,,"22,90%",,,,,,"34,35%",,,,,,"45,80%",,,,,,"45,8%",-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Crime Investigations,Quarterly,Percentage of fingerprint leads finalised,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","10,05%","20,15% (158 from a total of 784).",Structured monitoring system implemented at divisional and provincial levels.,Not applicable,,,"20,10%",,,,,,"30,05%",,,,,,"40,20%",,,,,,"40,2%",-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Crime Investigations,Quarterly,Percentage of Integrated Ballistics Identification System (IBIS) leads finalised,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",7%,"16,71% (72 from a total of 431).",Structured monitoring system implemented at divisional and provincial levels.,Not applicable,,,14%,,,,,,21%,,,,,,28%,,,,,,28%,-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Crime Investigations,Quarterly,Percentage of person-to-crime DNA leads finalised,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",12%,"21,46% (606 from a total of 2 824).",Structured monitoring system implemented at divisional and provincial levels.,Not applicable,,,24%,,,,,,36%,,,,,,48%,,,,,,48%,-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Criminal Record Centre,Quarterly,"Percentage of original previous conviction reports generated, within 15 calendar days",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",92%,"86,03% (204 750 from a total of 237 993).","Bandwidth-related AFIS connectivity errors (Springs, Thohoyandou, Selosesha and Park Road). Errors with lengthy resolution times. Dependency on supplier to resolve escalated queries (irresolvable queries).
Network challenges.
Power outages (loadshedding and cable theft).","Constant monitoring of the systems.
Regular meetings with the suppliers and system coordinators.
Increased working hours with compensation.",,,92%,,,,,,92%,,,,,,92%,,,,,,92%,-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Criminal Record Centre,Quarterly,"Percentage of results of trial updated in respect of guilty verdicts, within 20 calendar days",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",91%,"94,63% (32 433 from a total of 34 275).","The revised target based on SMART principles.
Redistribution of work.
Daily and weekly monitoring of work.",Not applicable,,,91%,,,,,,91%,,,,,,91%,,,,,,91%,-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Forensic Science Laboratory,Quarterly,"Percentage of Ballistics Intelligence (IBIS) case exhibits (entries) finalised, within 35 calendar days",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",95%,"86,62% (9 277 from a total of 10 710).
","A backlog accumulated, since 2019.  Priority had to be given to both new and old cases, which impacted on performance. 
Time lost in production, due to load shedding and water shortages.
Human capital loss caused by promotions, resignations and transfers.
Production was negatively impacted by flooding, in KwaZulu-Natal.  
Case exhibit entries for biology and chemistry are received at the Pretoria Laboratory. The biology exhibits are then sent to the laboratory, in KwaZulu-Natal for analysis. The chemistry exhibits are sent to the Western Cape Laboratory, where KwaZulu-Natal analysts are deployed for analytical work.","The double sword methodology is being applied where old and new cases are analysed simultaneously.  
Since April 2022 to May 2023, 42 200, 212 statements were issued to the NPA.
Since the establishment of the NPA/SAPS Project, in July 2021, a total of 34 378 cases have been prioritised for analysis in response to court-directed requests.
The environment is evaluating the procurement of UPS and water tanks.
Revisit the structure of the Component: Forensic Science Laboratory.
Filling of vacant funded posts.
Absorption of natural science-qualified new recruits from Project 10 000.",,,95%,,,,,,95%,,,,,,95%,,,,,,95%,-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Forensic Science Laboratory,Quarterly,"Percentage of Biology DNA Intelligence case exhibits (entries) finalised, within 90 calendar days",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",80%,"79,65% (59 074 from a total of 74 168).","A backlog accumulated, since 2019.  Priority had to be given to both new and old cases, which impacted on performance. 
Time lost in production, due to load shedding and water shortages.
Human capital loss caused by promotions, resignations and transfers.
Production was negatively impacted by flooding, in KwaZulu-Natal.  
Case exhibit entries for biology and chemistry are received at the Pretoria Laboratory. The biology exhibits are then sent to the laboratory, in KwaZulu-Natal for analysis. The chemistry exhibits are sent to the Western Cape Laboratory, where KwaZulu-Natal analysts are deployed for analytical work.","The double sword methodology is being applied where old and new cases are analysed simultaneously.  
Since April 2022 to May 2023, 42 200, 212 statements were issued to the NPA.
Since the establishment of the NPA/SAPS Project, in July 2021, a total of 34 378 cases have been prioritised for analysis in response to court-directed requests.
The environment is evaluating the procurement of UPS and water tanks.
Revisit the structure of the Component: Forensic Science Laboratory.
Filling of vacant funded posts.
Absorption of natural science-qualified new recruits from Project 10 000.",,,80%,,,,,,80%,,,,,,80%,,,,,,80%,-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Forensic Science Laboratory,Quarterly,"Percentage of case exhibits (entries) not yet finalised, exceeding the prescribed time frames",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",Backlog not exceeding 10% of registered case exhibits (entries),"121,97% (200 171 from a total of 164 113).
","A backlog accumulated, since 2019.  Priority had to be given to both new and old cases, which impacted on performance. 
Time lost in production, due to load shedding and water shortages.
Human capital loss caused by promotions, resignations and transfers.
Production was negatively impacted by flooding, in KwaZulu-Natal.  
Case exhibit entries for biology and chemistry are received at the Pretoria Laboratory. The biology exhibits are then sent to the laboratory, in KwaZulu-Natal for analysis. The chemistry exhibits are sent to the Western Cape Laboratory, where KwaZulu-Natal analysts are deployed for analytical work.","The double sword methodology is being applied where old and new cases are analysed simultaneously.  
Since April 2022 to May 2023, 42 200, 212 statements were issued to the NPA.
Since the establishment of the NPA/SAPS Project, in July 2021, a total of 34 378 cases have been prioritised for analysis in response to court-directed requests.
The environment is evaluating the procurement of UPS and water tanks.
Revisit the structure of the Component: Forensic Science Laboratory.
Filling of vacant funded posts.
Absorption of natural science-qualified new recruits from Project 10 000.",,,Backlog not exceeding 10% of registered case exhibits (entries),,,,,,Backlog not exceeding 10% of registered case exhibits (entries),,,,,,Backlog not exceeding 10% of registered case exhibits (entries),,,,,,Backlog not exceeding 10% of registered case exhibits (entries),-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Forensic Science Laboratory,Quarterly,"Percentage of DNA case exhibits (entries) not yet finalised, exceeding the prescribed time frames",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",Backlog not exceeding 10% of registered case exhibits (entries),"52,05% (53 106 from a total of 102 032).
","A backlog accumulated, since 2019.  Priority had to be given to both new and old cases, which impacted on performance. 
Time lost in production, due to load shedding and water shortages.
Human capital loss caused by promotions, resignations and transfers.
Production was negatively impacted by flooding, in KwaZulu-Natal.  
Case exhibit entries for biology and chemistry are received at the Pretoria Laboratory. The biology exhibits are then sent to the laboratory, in KwaZulu-Natal for analysis. The chemistry exhibits are sent to the Western Cape Laboratory, where KwaZulu-Natal analysts are deployed for analytical work.","The double sword methodology is being applied where old and new cases are analysed simultaneously.  
Since April 2022 to May 2023, 42 200, 212 statements were issued to the NPA.
Since the establishment of the NPA/SAPS Project, in July 2021, a total of 34 378 cases have been prioritised for analysis in response to court-directed requests.
The environment is evaluating the procurement of UPS and water tanks.
Revisit the structure of the Component: Forensic Science Laboratory.
Filling of vacant funded posts.
Absorption of natural science-qualified new recruits from Project 10 000.",,,Backlog not exceeding 10% of registered case exhibits (entries),,,,,,Backlog not exceeding 10% of registered case exhibits (entries),,,,,,Backlog not exceeding 10% of registered case exhibits (entries),,,,,,Backlog not exceeding 10% of registered case exhibits (entries),-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Forensic Science Laboratory,Quarterly,"Percentage of non-routine case exhibits (entries) finalised, within 113 calendar days",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",70%,"41,56% (702 from a total of 1 689).
","A backlog accumulated, since 2019.  Priority had to be given to both new and old cases, which impacted on performance. 
Time lost in production, due to load shedding and water shortages.
Human capital loss caused by promotions, resignations and transfers.
Production was negatively impacted by flooding, in KwaZulu-Natal.  
Case exhibit entries for biology and chemistry are received at the Pretoria Laboratory. The biology exhibits are then sent to the laboratory, in KwaZulu-Natal for analysis. The chemistry exhibits are sent to the Western Cape Laboratory, where KwaZulu-Natal analysts are deployed for analytical work.","The double sword methodology is being applied where old and new cases are analysed simultaneously.  
Since April 2022 to May 2023, 42 200, 212 statements were issued to the NPA.
Since the establishment of the NPA/SAPS Project, in July 2021, a total of 34 378 cases have been prioritised for analysis in response to court-directed requests.
The environment is evaluating the procurement of UPS and water tanks.
Revisit the structure of the Component: Forensic Science Laboratory.
Filling of vacant funded posts.
Absorption of natural science-qualified new recruits from Project 10 000.",,,70%,,,,,,70%,,,,,,70%,,,,,,70%,-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Forensic Science Laboratory,Quarterly,"Percentage of routine case exhibits (entries) finalised, within 35 calendar days",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",75%,"29,09% (15 357 from a total of 52 798).
","A backlog accumulated, since 2019.  Priority had to be given to both new and old cases, which impacted on performance. 
Time lost in production, due to load shedding and water shortages.
Human capital loss caused by promotions, resignations and transfers.
Production was negatively impacted by flooding, in KwaZulu-Natal.  
Case exhibit entries for biology and chemistry are received at the Pretoria Laboratory. The biology exhibits are then sent to the laboratory, in KwaZulu-Natal for analysis. The chemistry exhibits are sent to the Western Cape Laboratory, where KwaZulu-Natal analysts are deployed for analytical work.","The double sword methodology is being applied where old and new cases are analysed simultaneously.  
Since April 2022 to May 2023, 42 200, 212 statements were issued to the NPA.
Since the establishment of the NPA/SAPS Project, in July 2021, a total of 34 378 cases have been prioritised for analysis in response to court-directed requests.
The environment is evaluating the procurement of UPS and water tanks.
Revisit the structure of the Component: Forensic Science Laboratory.
Filling of vacant funded posts.
Absorption of natural science-qualified new recruits from Project 10 000.",,,75%,,,,,,75%,,,,,,75%,,,,,,75%,-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Specialised Investigations,Annually,Percentage of registered serious organised crime project investigations successfully closed,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,,,,,,,,,,,,"72%
",,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Specialised Investigations,Quarterly,Percentage of identified clandestine laboratories dismantled with arrests,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","90%
","100% (5 from a total 5, with 7 arrests).
","Intelligence and effective coordination.
","Not applicable
",,,90%,,,,,,90%,,,,,,90%,,,,,,"90%
",-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Specialised Investigations,Quarterly,Percentage of serious cyberrelated crime support case files successfully investigated within 90 calendar days,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","65%
","100% (7 from a total of 7).
","Pre-existing challenges were mitigated by performance management measures, including increased personnel, management of high-profile cases on triage, infrastructure pooling, technical assistance from the IT Industry and ad-hoc training.
","Not applicable
",,,65%,,,,,,65%,,,,,,65%,,,,,,"65%
",-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Specialised Investigations,Quarterly,Percentage of trial-ready case dockets for serious commercial crime,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","65%
","67,57% (1 723 from a total of 2 550).
","Timeous finalisation of investigations on the court cases for the cases to become trial-ready by investigating officers.
","Not applicable
",,,65%,,,,,,65%,,,,,,65%,,,,,,"65%
",-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Specialised Investigations,Quarterly,Percentage of trial-ready case dockets for serious corruption within the private sector,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",70%,"72,28% (146 from a total of 202).
","Constant interaction with the NPA in fast-tracking the investigation process to declaration of trial-ready status of the cases. Continuously monitor progress on cases.
","Not applicable
",,,70%,,,,,,70%,,,,,,70%,,,,,,70%,-,,,,,,,389
Police,South African Police Service,National,Programme 3: Detective Services,Specialised Investigations,Quarterly,Percentage of trial-ready case dockets for serious corruption within the public sector,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",70%,"86,89% (550 from a total of 633).
","Constant interaction with the NPA in fast-tracking the investigation process to declaration of trial-ready status of the cases. Continuously monitor progress on cases.
","Not applicable
",,,70%,,,,,,70%,,,,,,70%,,,,,,70%,-,,,,,,,389
Police,South African Police Service,National,Programme 4: Crime Intelligence,Crime Intelligence Operations,Quarterly,Percentage of ICT security assessments finalised in the SAPS,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","25% (500)
","42,20% (844 from a total of 2 000).
","Due to the upgrade of software on crypto equipment at Head Office, additional computer equipment was made available, allowing for concurrent ICT security assessments.
To ensure that nearly all laptops and desktops are accessible for assessment, members were informed in advance of the intended assessment.
The Western Cape Police Safety Plan and Firearm Store Project contributed to the high number of ICT assessments completed in the first quarter.
","Not applicable
",,,50% (1 000),,,,,,75% (1 500),,,,,,100% (2 000),,,,,,"100% (2 000)
",-,,,,,,,389
Police,South African Police Service,National,Programme 4: Crime Intelligence,Crime Intelligence Operations,Quarterly,"Percentage of network operations, relating to prioritised crime threats, successfully terminated",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","0%
","No quarterly target.
","Not applicable
","Not applicable
",,,"21,69%",,,,,,"43,38%",,,,,,66%,,,,,,"66% of the total number of network operations registered, annually
",-,,,,,,,389
Police,South African Police Service,National,Programme 4: Crime Intelligence,Crime Intelligence Operations,Quarterly,Percentage of overt mandatory physical security assessments finalised in the SAPS,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","25% (100)
","30,25% (121 from a total of 400).
","The assessment of overt premises was made possible by management's planning.
The Western Cape Police Safety Plan and Firearm Store Project contributed to the high number of physical security assessments finalised in the first quarter.
","Not applicable
",,,50% (200),,,,,,75% (300),,,,,,100% (400),,,,,,"100% (400)
",-,,,,,,,389
Police,South African Police Service,National,Programme 4: Crime Intelligence,Crime Intelligence Operations,Quarterly,Percentage of security clearances finalised in the SAPS,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","25% (175)
","13,57% (95 from a total of 700).
","Delays in the approval of IT software supplied by an external service provider, which is a crucial part of the vetting process.  The approval of the application, in May 2023 contributed to a nearly 50 percent reduction in production time.
Applications for security clearance that had reached an advanced stage were placed on hold pending service provider approval.
","The evaluations capacity will be enhanced through the assistance of provincial vetting personnel, in order to increase the performance output, in relation to security clearance applications.

",,,50% (350),,,,,,75% (525),,,,,,100% (700),,,,,,"100% (700)
",-,,,,,,,389
Police,South African Police Service,National,Programme 4: Crime Intelligence,Intelligence and Information Management,Quarterly,"Percentage of proactive intelligence reports, relating to prioritised crime threats, that were operationalised at district level",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","80%
","99,08% (12 419 from a total of 12 534).
","The timely dissemination of intelligence reports to both internal and external clients. The conducting of monthly accountability sessions, to ensure the finalisation of requests.
","Not applicable
",,,80%,,,,,,80%,,,,,,80%,,,,,,"80%
",-,,,,,,,389
Police,South African Police Service,National,Programme 4: Crime Intelligence,Intelligence and Information Management,Quarterly,"Percentage of proactive intelligence reports, relating to prioritised crime threats, that were operationalised at national level",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","95%
","99,60% (756 from a total of 759).
","The timely dissemination of intelligence reports to both internal and external clients. The conducting of monthly accountability sessions, to ensure the finalisation of requests.
","Not applicable
",,,95%,,,,,,95%,,,,,,95%,,,,,,"95%
",-,,,,,,,389
Police,South African Police Service,National,Programme 4: Crime Intelligence,Intelligence and Information Management,Quarterly,"Percentage of proactive intelligence reports, relating to prioritised crime threats, that were operationalised at provincial level",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","90%
","98,61% (3 825 from a total of 3 879).
","The timely dissemination of intelligence reports to both internal and external clients. The conducting of monthly accountability sessions, to ensure the finalisation of requests.
","Not applicable
",,,90%,,,,,,90%,,,,,,90%,,,,,,"90%
",-,,,,,,,389
Police,South African Police Service,National,Programme 4: Crime Intelligence,Intelligence and Information Management,Quarterly,"Percentage of re-active intelligence reports, relating to prioritised crime threats,  that were operationalised at national level",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","95%
","96,77% (3 235 from a total of 3 343).
","The timely dissemination of intelligence reports to both internal and external clients. The conducting of monthly accountability sessions, to ensure the finalisation of requests.
","Not applicable
",,,95%,,,,,,95%,,,,,,95%,,,,,,"95%
",-,,,,,,,389
Police,South African Police Service,National,Programme 4: Crime Intelligence,Intelligence and Information Management,Quarterly,"Percentage of re-active intelligence reports, relating to prioritised crime threats, that were operationalised at district level",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","80%
","98,48% (49 597 from a total of 50 364).
","The timely dissemination of intelligence reports to both internal and external clients. The conducting of monthly accountability sessions, to ensure the finalisation of requests.
","Not applicable
",,,80%,,,,,,80%,,,,,,80%,,,,,,"80%
",-,,,,,,,389
Police,South African Police Service,National,Programme 4: Crime Intelligence,Intelligence and Information Management,Quarterly,"Percentage of re-active intelligence reports, relating to prioritised crime threats, that were operationalised at provincial level",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","90%
","94,43% (14 262 from a total of 15 104).
","The timely dissemination of intelligence reports to both internal and external clients. The conducting of monthly accountability sessions, to ensure the finalisation of requests.
","Not applicable
",,,90%,,,,,,90%,,,,,,90%,,,,,,"90%
",-,,,,,,,389
Police,South African Police Service,National,Programme 5: Protection and Security Services,Government Security Regulator,Quarterly,Percentage of National Key Points (NKPs) evaluated by PPS,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","18,18% (2)
","27,27% (3 from a total of 11).
","An opportunity availed itself to assess more NKP's than planned.
","Not applicable
",,,"27,27% (3)",,,,,,"27,27% (3)",,,,,,"27,27% (3)",,,,,,"100% (11)
",-,,,,,,,389
Police,South African Police Service,National,Programme 5: Protection and Security Services,Government Security Regulator,Quarterly,Percentage of National Key Points (NKPs) evaluated by PSS,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","25,12% (54)
","23,26% (50 from a total of 215).
","Four NKPs, in KwaZulu-Natal were not evaluated, due to the unavailability of the Security Manager: Evaluation.
","The evaluations were postponed until the second quarter. An appointment has already been secured with the security manager.
",,,"28,84% (62)",,,,,,"26,51% (57)",,,,,,"19,53% (42)",,,,,,"100% (215)
",-,,,,,,,389
