ReportTitle,Textbox95,Textbox80,Textbox81,Textbox82,Textbox83
QPR for FY 2023-24 National Institutions Oversight Performance  Report as of ( FY 2023-24),Location/s: National,InstitutionType:   National,"Institution:   Military Veterans, Mineral Resources and Energy, Municipal Demarcation Board, Municipal Infrastructure Support Agency, National School of Government",FinancialYear:   FY 2023-24,"Report Printed On:   Monday, September 11, 2023 1:46:23 PM"

Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of fuel samples Tested ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",270,Achieved: 297 ,The target was overachieved by 27. More fuel samples were collected in Mpumalanga due to filling of vacant position. ,N/A,,,270,,,,,,270,,,,,,270,,,,,,1 080 ,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of jobs to be enabled through the issuing of mining rights ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",2 000,Not Achieved: 394 Jobs were enabled through the issuing of mining rights. ,"Clients did not submit documents for issuing of mining rights during the period under review. 

Delays by some of the clients in submitting documents for execution of mining rights.
",More invitations will be sent to rights holders to come and execute their mining rights.,,,2 000,,,,,,2 000,,,,,,2 000,,,,,,8 000 ,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of legal compliance inspections (mineral laws-MLA) conducted ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",37,Not Achieved: 25 Legal compliance inspections were conducted. ,12 compliance inspections were not conducted due to prioritisation of processing applications to prospecting and mining rights to eradicate the licensing backlog during the period under review.,Remaining target (12) will be spread amongst the remaining quarters. ,,,38,,,,,,38,,,,,,37,,,,,,150,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of Mining Economics (MWP/PWP) inspections conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",125,Not Achieved: 110 Mine Economics inspections were conducted. ,15 inspections were not conducted due to prioritisation of processing applications to prospecting and mining rights to eradicate the licensing backlog during the period under review.,Remaining target (15) will be spread amongst the remaining quarters. ,,,125,,,,,,125,,,,,,125,,,,,,500,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of petroleum retail site compliance inspections conducted ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",375,Not Achieved: 346 retail site compliance inspections were conducted.  ,Remaining 29 will be spread amongst the remaining quarters. ,,,,375,,,,,,375,,,,,,375,,,,,,1 500 ,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of rights issued to HDSA controlled entities,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",50,Achieved: 66 ,More companies responded positively on invitation to come and execute their rights..,N/A,,,50,,,,,,50,,,,,,50,,,,,,200,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of SLP development projects completed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",33,Achieved: 41 ,8 More SLP development projects were completed due to companies holding more than one right which led to overachievement. ,N/A,,,33,,,,,,33,,,,,,33,,,,,,132 ,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 2: Minerals and Petroleum Regulation (MPR),Programme 2: Minerals and Petroleum Regulation (MPR),Quarterly,Number of SLP inspections conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",53,Achieved: 62 ,"The target was overachieved by 9, due to unplanned verification inspections, and one company inspected holding three mining rights and inspection was conducted on each right.", N/A,,,53,,,,,,53,,,,,,53,,,,,,212,-,,,,,,,168
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Diamonds Amendment Bill completed ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Diamonds Amendment Bill submitted to Economic Cluster ,Not Achieved,"Consultations on the Draft Bill with stakeholders were completed late. The Bill is being reviewed in line with the comments provided by stakeholders
",The Bill will be submitted to the Economic Cluster in Q3,,,Diamonds Amendment Bill presented to Cabinet for approval to gazette for public comments,,,,,,Consolidation of public comments,,,,,,Diamonds Amendment Bill completed ,,,,,,Diamonds Amendment Bill completed ,-,,,,,,,168
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Draft SANPC Bill completed ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",SANPC Bill submitted to the Economic Cluster ,Not Achieved,"The Department received the SLA pre-certification legal opinion on 15 June 2023 which attributed to the delay to submit the SANPC Bill to the Economic Cluster
",The SANPC Bill will be submitted to the Economic Cluster in Q2 2023,,,SANPC Bill presented to Cabinet for approval to gazette for public comments,,,,,,Consolidation of public comments,,,,,,Draft SANPC Bill completed ,,,,,,Draft SANPC Bill completed ,-,,,,,,,168
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Electricity Regulation Act Regulations Gazetted ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Identify and develop Regulations,Not achieved,There were delays in receiving inputs from NERSA,Engage in emergency consultations to deliver on the outstanding inputs.,,,Electricity Regulation Act Regulations Gazetted for Public comments,,,,,,Stakeholder Consultations ,,,,,,Electricity Regulation Act Regulations approved and Gazetted ,,,,,,Electricity Regulation Act Regulations Gazetted ,-,,,,,,,168
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,MHSA Bill submitted to Cabinet for approval to table in Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Mine Health and Safety Bill presented to the Economic Cluster,Not Achieved,The NEDLAC report received on   the 26th of June 2023 which attributed to a delay to transmit same to the cluster,The Bill will be presented to Cluster in Q2 2023,,,Mine Health and Safety Bill submitted to Cabinet for approval to table in Parliament,,,,,,MHSA Bill submitted to Parliament,,,,,,N/A,,,,,,MHSA Bill submitted to Cabinet for approval to table in Parliament,-,,,,,,,168
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Number of Annual energy statistics reports published,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Data Collection,Not Achieved,Report with the approval authority for review and recommendation for improvement,Engagement with approval authority to finalise the review of the report,,,Compilation of commodity Flows,,,,,,Consolidation and peer review,,,,,,4 Annual energy statistics reports published,,,,,,"4  Annual energy statistics reports published
(Energy Price, balance, Trade & Statistics booklet)
",-,,,,,,,168
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Number of approved and registered carbon offsets projects,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1 Project Approved,Achieved,N/A,N/A,,,1 Project Approved,,,,,,1 Project Approved,,,,,,1 Project Approved,,,,,,4 Approved and registered carbon offsets projects,-,,,,,,,168
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Number of Investment Promotion events hosted or partnered in to attract investments in the sector,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,N/A,N/A,N/A,,,2,,,,,,3,,,,,,3,,,,,,8 investment  promotion events hosted or partnered in to attract investments in the sector,-,,,,,,,168
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Number of New Agreements Concluded,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,N/A,N/A,N/A,,,N/A,,,,,,N/A,,,,,,1,,,,,,1,-,,,,,,,168
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Number of Progress reports on agreed areas of collaboration and cooperation implemented,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",8,Achieved,N/A,N/A,,,8,,,,,,8,,,,,,8,,,,,,8,-,,,,,,,168
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Number of progress reports on multilateral strategic partnerships,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",10,Achieved,N/A,N/A,,,10,,,,,,10,,,,,,10,,,,,,10,-,,,,,,,168
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Number of quality mineral publications published,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,Not Achieved,Supply Chain Management Processes took longer than anticipated.,The department is in the process of fast-tracking procurement processes and will be finalized in Q2.,,,1,,,,,,2,,,,,,3,,,,,,7,-,,,,,,,168
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Number of Reports developed on  Beneficiation Master plan initiatives implemented,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",2,2,N/A,N/A,,,2,,,,,,2,,,,,,2,,,,,,8  Reports developed on  Beneficiation Master plan initiatives implemented ,-,,,,,,,168
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Petroleum Products Bill submitted to Cabinet for approval to table in Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",N/A,N/A,,,,,Consolidation of public comments,,,,,,"Sector and government Stakeholder Consultations
completed
",,,,,,Petroleum Products Bill submitted to Cabinet for approval to table in Parliament,,,,,,Petroleum Products Bill submitted to Cabinet for approval to table in Parliament,-,,,,,,,168
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Radioactive Waste Management Disposal Institute Act Regulations Gazetted ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Identify and develop Regulations,Achieved,N/A,N/A,,,Gazette for Public comments,,,,,,Stakeholder Consultations ,,,,,,"Radioactive Waste
Management Disposal Institute
Act Regulations Gazetted 
",,,,,,"Radioactive Waste
Management Disposal Institute Act Regulations Gazetted
",-,,,,,,,168
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Report on economic viability of shale gas exploration in SA produced,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Progress Report for Phase I for the KDD project,Achieved,N/A,N/A,,,Report on appointment of service providers,,,,,,Report on finalisation of tender processes,,,,,,Report on outcomes of environmental impact assessment and data acquisition for shale gas exploration  in SA,,,,,,Report on outcomes of environmental impact assessment and data acquisition for  shale gas exploration  in SA,-,,,,,,,168
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Revised Gas Amendment Bill approved by Cabinet for tabling in Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Gazette the revised Gas Amendment Bill  for public comments ,Not achieved: There were consultations on the revised Bill with NERSA and Competition Commission. Bill submitted to Legal Services for vetting,"Outstanding Legal Opinion, precertification from OCSLA. Outstanding SEIAS sign-off from DPME","Engage in emergency consultations to deliver on the outstanding inputs
",,,Stakeholder Consultations,,,,,,Revised Gas Amendment Bill approved by Cluster,,,,,,Revised Gas Amendment Bill approved by Cabinet for tabling in Parliament,,,,,,Revised Gas Amendment Bill approved by Cabinet for tabling in Parliament,-,,,,,,,168
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Revised Integrated Resource Plan 2023 submitted to Cabinet,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Revised Integrated Resource Plan 2023 submitted to Cabinet,Not Achieved: Modelling work for Phase I of the project has commenced,There was a delay in receiving data from stakeholders and accessing the IRP modelling system ,The Revised IRP will be submitted to Cabinet in Q3,,,N/A,,,,,,N/A,,,,,,N/A,,,,,,Revised Integrated Resource Plan 2023 submitted to Cabinet,-,,,,,,,168
,Mineral Resources and Energy,National,"Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)","Programme 3: Mining, Minerals and Energy Policy Development (MMEPD)",Quarterly,Revised RWM Fund Bill submitted to Cabinet for tabling in Parliament,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",RWMF Bill submitted for certification,Achieved,N/A,N/A,,,Revised RWM Fund Bill submitted to Cabinet for tabling in Parliament,,,,,,N/A,,,,,,N/A,,,,,,Revised RWM Fund Bill submitted to Cabinet for tabling in Parliament,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 4: Mine Health and Safety Inspectorate (MHSI) ,Programme 4: Mine Health and Safety Inspectorate (MHSI) ,Quarterly,% Adherence to prescribed timeframes for Chief Inspector of Mines appeals,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",100%,Achieved: No CIOM's appeals received in the 1st quarter. ,N/A,N/A,,,100%,,,,,,100%,,,,,,100%,,,,,,100%,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 4: Mine Health and Safety Inspectorate (MHSI) ,Programme 4: Mine Health and Safety Inspectorate (MHSI) ,Quarterly,% Adherence to prescribed timeframes for medical appeals,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",80%,Not achieved: 24 appeals were received and 19 were completed.   Calculation: (19/24)*100= 79.2%,"Some of the medical appeal cases were referred for 2nd opinion to specialists. 
 
Occupational Medical Persons (OMPs) did not attach all required medical reports
","1. Regions which do not have specialists, appellant will be referred to other regions where specialists are available.
2. Prioritise cases that might not require referral to ensure more appeals are completed.
3. Ensure OMPs submit necessary medical reports within the prescribed timeline
",,,80%,,,,,,80%,,,,,,80%,,,,,,80%,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 4: Mine Health and Safety Inspectorate (MHSI) ,Programme 4: Mine Health and Safety Inspectorate (MHSI) ,Quarterly,% Adherence to prescribed timeframes for MPRDA applications,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",80%,Achieved:  364 (99%) ,Applications received met all the requirements and there were no challenges,N/A,,,80%,,,,,,80%,,,,,,80%,,,,,,80%,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 4: Mine Health and Safety Inspectorate (MHSI) ,Programme 4: Mine Health and Safety Inspectorate (MHSI) ,Quarterly,% of administration of Government Certificate of Competency (GCC) exams policy. ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",100%,Achieved.  100%,N/A,N/A,,,100%,,,,,,100%,,,,,,100%,,,,,,100%,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 4: Mine Health and Safety Inspectorate (MHSI) ,Programme 4: Mine Health and Safety Inspectorate (MHSI) ,Quarterly,% of identified necessary SLAs entered into to improve health and safety in mining,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",100%,Achieved:  No services rendered by MRS as no incidents of illegal miners required emergency rescue service,N/A,N/A,,,100%,,,,,,100%,,,,,,100%,,,,,,100%,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 4: Mine Health and Safety Inspectorate (MHSI) ,Programme 4: Mine Health and Safety Inspectorate (MHSI) ,Quarterly,% of occupational fatalities inquiries completed (Initiated v/s completed),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",80%,Not Achieved: A total of 13 accident initiated inquiries and 8 were completed from April 2023 to June 2023.  Calculation (13/8)*100 = 62%,A number of witnesses and legal representatives were not timeously available for completion of inquiries,More focus will be provided to outstanding inquiries during the 2nd quarter to ensure improvement on completion of inquiries,,,80%,,,,,,80%,,,,,,80%,,,,,,80%,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 4: Mine Health and Safety Inspectorate (MHSI) ,Programme 4: Mine Health and Safety Inspectorate (MHSI) ,Quarterly,% of occupational injuries investigations completed (Initiated vs Completed) ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",80%,Achieved:  (144/151)*100 = 105%,Strictly monitoring of accident files allocated to inspectors and ensuring investigations are completed timely,N/A,,,80%,,,,,,80%,,,,,,80%,,,,,,80%,-,,,,,,,168
,Mineral Resources and Energy,National,Programme 4: Mine Health and Safety Inspectorate (MHSI) ,Programme 4: Mine Health and Safety Inspectorate (MHSI) ,Quarterly,% Reduction in occupational diseases (Including TB) compared to prior year,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",10%,"Not Achieved: During April -June 2023, a total of 357 occupational diseases were reported compared to 298 cases reported during the same period in 2022/23.                  Calculation: (357 - 298) / 298 x 100 = 20%",There was an increase in the total number of occupational diseases in Q1 of the current financial year which could be related to more employees screened during their medical surveillance,2023/2024 improvement strategy for occupational medicine will be implemented towards the elimination of occupational lung diseases and noise induced hearing loss,,,10%,,,,,,10%,,,,,,10%,,,,,,10%,-,,,,,,,168
