ReportTitle,Textbox95,Textbox80,Textbox81,Textbox82,Textbox83
QPR for FY 2023-24 National Institutions Oversight Performance  Report as of ( FY 2023-24),Location/s: National,InstitutionType:   National,"Institution:   Government Technical Advisory Center, Health, Higher Education and Training, Home Affairs, Human Settlements, Independent Communications Authority of South Africa, Independent Electoral Commission, Independent Police Investigative Directorate, International Relations and Cooperation, Justice and Constitutional Development",FinancialYear:   FY 2023-24,"Report Printed On:   Monday, September 11, 2023 1:33:53 PM"

Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Corporate Services,Quarterly,Number of communication products published to grow the share of voice of ICASA,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",1,1,None,None,,,2,,,,,,1,,,,,,1,,,,,,5,1,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Corporate Services,Quarterly,Number of International engagements facilitated by ICASA,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",1,1,None,None,,,1,,,,,,1,,,,,,1,,,,,,4,1,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Corporate Services,Quarterly,Percentage of OHS annual plan implemented,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",22 %,22 %,None,None,,,56 %,,,,,,78 %,,,,,,100 %,,,,,,100 %,22 %,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Corporate Services,Quarterly,Percentage of EDRMS annual plan implemented,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",25 %,25 %,None,None,,,50 %,,,,,,75 %,,,,,,100 %,,,,,,100 %,25 %,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Corporate Services,Quarterly,Number of security incidents being monitored on IT Systems,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",13,13,None,None,,,13,,,,,,13,,,,,,13,,,,,,52,13,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Corporate Services,Quarterly,Percentage of IT Systems efficiency,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",98 %,98.2 %,None,None,,,98 %,,,,,,98 %,,,,,,98 %,,,,,,98 %,0 %,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Finance,Quarterly,Percentage progress in achieving the desired clean audit,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",100 %,0 %,"1. Auditor General raised concerns on the AFS, which were found to have material adjustments.  2. Fruitless expenditure was incurred in the quarter","The AFS will be adjusted for all material misstatements,   quarterly financial statements will be compiled to ensure no misstatements, and 
awareness workshops will be conducted with user divisions to avoid UIFW
",,,100 %,,,,,,100 %,,,,,,100 %,,,,,,100 %,0 %,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Finance,Quarterly,Percentage of Licence Fees Collected,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",20 %,49 %,The renewal period of Spectrum licences drove the high collection during this first quarter ,,,,60 %,,,,,,75 %,,,,,,99 %,,,,,,99 %,49 %,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Finance,Quarterly,Percentage of procurement spend on companies owned by Woman,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",3 %,43 %,"This is a new target, and the baseline was as per industry norms",,,,5 %,,,,,,8 %,,,,,,10 %,,,,,,10 %,43 %,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Finance,Quarterly,Percentage of procurement spend on companies owned by Youth,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",5 %,14 %,"This is a new target, and the baseline was as per industry norms",,,,8 %,,,,,,10 %,,,,,,15 %,,,,,,15 %,14 %,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Finance,Quarterly,Percentage of procurement spend on companies owned by people with disabilities,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",0 %,,,,,,0 %,,,,,,1 %,,,,,,2 %,,,,,,2 %,0 %,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Human Resources,Annually,Number of SABPP audits completed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Human Resources,Annually,Number of Employee Engagement Surveys Completed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Human Resources,Annually,Number of women in the professional occupational level employed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Human Resources,Annually,Number of youth employed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Human Resources,Annually,Number of Persons with Disabilities employed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Human Resources,Quarterly,Staff vacancy rate maintained,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",7 %,6.4 %,HR over-achieved because recruited employees accepted job offers earlier than expected. ,"Corrective measure not necessary, because a lower vacancy rate is always a goal of any organisation",,,7 %,,,,,,7 %,,,,,,7 %,,,,,,7 %,0 %,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Human Resources,Quarterly,Percentage of Workplace Skills Plan implemented,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",25 %,25 %,None,None,,,25 %,,,,,,25 %,,,,,,25 %,,,,,,100 %,25 %,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Human Resources,Quarterly,Number of Employee Wellness Initiatives Implemented,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",1,1,None,None,,,1,,,,,,1,,,,,,1,,,,,,4,1,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Internal Audit,Quarterly,Level of assurance provided,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",Level 1,Level 1,None,None,,,Level 2,,,,,,Level 3,,,,,,Level 4,,,,,,Level 4,-,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Internal Audit,Quarterly,Number of consulting assignments completed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",1,0,"As per the approved audit plan, Internal Audit was scheduled to conduct a Human Resources consulting engagement being the ""Performance Management Contracting"" in quarter 1. Due to the 2023/24 organisational employee contract process being finalised in July 2023, the engagement could not commence in Q1.",2 consulting engagements will be undertaken in Q2.,,,2,,,,,,3,,,,,,4,,,,,,4,0,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Legal Risk & CCC,Annually,Risk maturity level of the organisation,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,Level 3,,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Legal Risk & CCC,Annually,Compliance maturity level of the organisation,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,Level 3,,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Legal Risk & CCC,Quarterly,Percentage of legal services provided to client within SLA turnaround times,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",80 %,92 %,The overachievement is attributed to the Unit’s consistency in meeting the turnaround times set out in the LRCCC Processes and Procedure Manual,n/a,,,80 %,,,,,,80 %,,,,,,80 %,,,,,,80 %,92 %,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Legal Risk & CCC,Quarterly,Percentage of cases assessed for adjudication by the CCC in accordance with the CCC Handbook,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",90 %,100 %,The overachievement is as a result of the Office of the CCC's timeous adherence to the assessment of cases in accordance with the CCC Handbook,n/a,,,90 %,,,,,,90 %,,,,,,90 %,,,,,,90 %,100 %,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 1: Administration,Legal Risk & CCC,Quarterly,Percentage of the disaster management plan developed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",25 %,25 %,n/a,n/a,,,0 %,,,,,,75 %,,,,,,100 %,,,,,,100 %,25 %,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 2: Licensing and Compliance,Programme 2: Licensing and Compliance,Annually,Percentage of the process to licence Digital Community Television Broadcasting services on MUX 1 completed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,100 %,,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 2: Licensing and Compliance,Programme 2: Licensing and Compliance,Quarterly,Percentage of the process to assign broadband Spectrum completed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",10 %,0 %,The disjuncture between target setting (Planning) against the SC turnaround time. ,"The monitoring of the procurement plan will be done monthly at EXCO.

This will be against the determined  communicated turnaround time for SC
",,,30 %,,,,,,60 %,,,,,,80 %,,,,,,80 %,0 %,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 3: Policy Research and Analysis,Programme 3: Policy Research and Analysis,Annually,"Number of regulations relating to the definition of Advertising, Infomercials and Programme Sponsorship in Respect of Broadcasting service developed",Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,1,,,None,None,,,,460
,Independent Communications Authority of South Africa,National,Programme 3: Policy Research and Analysis,Programme 3: Policy Research and Analysis,Annually,Number of findings documents on subscription television broadcasting market developed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 3: Policy Research and Analysis,Programme 3: Policy Research and Analysis,Quarterly,Number of SAPO tariffs analysis reports approved,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,None,None,,,0,,,,,,0.5,,,,,,1,,,,,,1,0,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 3: Policy Research and Analysis,Programme 3: Policy Research and Analysis,Quarterly,Number of SAPO Regulatory Financial Statements assessed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",0.33,0.33,None,None,,,0,,,,,,0.66,,,,,,1,,,,,,1,0,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 3: Policy Research and Analysis,Programme 3: Policy Research and Analysis,Quarterly,Number of bi-annual tariff analysis reports produced,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,None,None,,,1,,,,,,0,,,,,,1,,,,,,2,0,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 3: Policy Research and Analysis,Programme 3: Policy Research and Analysis,Quarterly,Number of regulations on Call Termination developed,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,,None,None,,,0,,,,,,0.50,,,,,,1,,,,,,1,0,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 3: Policy Research and Analysis,Programme 3: Policy Research and Analysis,Quarterly,Number of Discussion Documents on Digital Broadcasting Regulations developed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",0.25,0.25,None,None,,,0.50,,,,,,0.75,,,,,,1,,,,,,1,0,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 3: Policy Research and Analysis,Programme 3: Policy Research and Analysis,Quarterly,Number of Final Regulations on National and Provincial Party Elections Broadcasts and Political Advertisements developed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",0.25,0.25,None,None,,,0,,,,,,0.75,,,,,,1,,,,,,1,0,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 3: Policy Research and Analysis,Programme 3: Policy Research and Analysis,Quarterly,Number of Position Papers on the Conveyance of Mail approved,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",0.25,0.25,None,None,,,0.50,,,,,,0.75,,,,,,1,,,,,,1,0,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 4: Engineering and Technology,Programme 4: Engineering and Technology,Annually,Percentage of Radio Frequency Migration Plan Developed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,50 %,,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 4: Engineering and Technology,Programme 4: Engineering and Technology,Annually,Percentage of IMT roadmap Developed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,50 %,,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 4: Engineering and Technology,Programme 4: Engineering and Technology,Annually,Number of Recommendations on South African Strategy for IMT2020 and beyond and Future Technologies produced,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 4: Engineering and Technology,Programme 4: Engineering and Technology,Annually,Percentage of Framework for Dynamic Spectrum Access and Opportunistic Spectrum Management developed,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,50 %,,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 4: Engineering and Technology,Programme 4: Engineering and Technology,Quarterly,Number of provinces monitored for Quality of Service,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",2,0,"Capacity constraints contributed to the delay of issuing of the PO.
At a particular time, the service provider was not Tax compliant
",Vacancies in the Finance Division have been declared critical as a result those would be filled by the end of the second quarter.,,,2,,,,,,2,,,,,,2,,,,,,8,0,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 5: Regions and Consumer Affairs,Programme 5: Regions and Consumer Affairs,Annually,Number of Advisories provided to ICASA by the Consumer Advisory Panel,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 5: Regions and Consumer Affairs,Programme 5: Regions and Consumer Affairs,Quarterly,Percentage of reported Radio Frequency interference cases resolved in 30 working days,Not Applicable,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",98 %,98 %,None,None,,,98 %,,,,,,98 %,,,,,,98 %,,,,,,98 %,98 %,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 5: Regions and Consumer Affairs,Programme 5: Regions and Consumer Affairs,Quarterly,Level of service delivery with respect to Licence applications / registrations processed within turn-around time,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Level 3,Level 4,The number of applications received in Q1 were less than those that were processed in the previous quarter,None,,,"Level 3
",,,,,,Level 3,,,,,,Level 3,,,,,,Level 3,-,,,,,,,460
,Independent Communications Authority of South Africa,National,Programme 5: Regions and Consumer Affairs,Programme 5: Regions and Consumer Affairs,Quarterly,Percentage of consumer complaints resolved,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State","The Economic Sectors, Employment and Infrastructure Development cluster",88 %,89 %,Compliance by licensees,None,,,88 %,,,,,,88 %,,,,,,88 %,,,,,,88 %,89 %,,,,,,,460
Health,Health,National,PROGRAMME 1:ADMINISTRATION,CHIEF FINANCIAL OFFICER,Annually,Audit outcome of National DoH,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","The Social Protection, Community and Human Development cluster",,,,,,,,,,,,,,,,,,,,,,,,,Unqualified Audit Opinion,,,,,,,,460
Health,Health,National,PROGRAMME 1:ADMINISTRATION,CHIEF FINANCIAL OFFICER,Quarterly,Number of valid invoices paid after 30 days of receiving valid invoices from suppliers,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","The Social Protection, Community and Human Development cluster","0 invoices paid after 30 days of receiving valid invoices from 
suppliers"," 81 out of total of 611 invoices paid after 30 days of receiving valid invoices from suppliers
","1. No funds allocated during the 2023/24 financial year to fund COVID-19 expenditure.
2. Payment of several overdue medical-legal claims on behalf of provincial health department.","1. Approval was granted to pay COVID-19 related expenditure against a suspense account until funding is identified/secured.
2. This was a national intervention to get medical-legal claims paid.  Thousands were paid but late payments could not be prevented since invoices were already older than 30 days when received.",,,"0 invoices paid after 30 days of receiving valid invoices from suppliers
",,,,,,"0 invoices paid after 30 days of receiving valid invoices from suppliers
",,,,,,"0 invoices paid after 30 days of receiving valid invoices from suppliers
",,,,,,"0 invoices paid after 30 days of receiving valid invoices from suppliers
",-,,,,,,,460
Health,Health,National,PROGRAMME 1:ADMINISTRATION,COMMUNICATIONS,Quarterly,Number of Health Imbizos with communities,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","The Social Protection, Community and Human Development cluster","0 Health Imbizos with communities
",Not applicable,Not applicable,Not applicable,,,"1 Health Imbizos with communities
",,,,,,"0 Health Imbizos with communities
",,,,,,"1 Health Imbizos with communities
",,,,,,"2 Health Imbizos with communities
",-,,,,,,,460
Health,Health,National,PROGRAMME 1:ADMINISTRATION,COMMUNICATIONS,Quarterly,Number of Health promotion messages broadcasted on Social Media to supplement other channels of communication,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","The Social Protection, Community and Human Development cluster","25 health promotion messages published on social media 
",55 health promotion messages published on social media ,"Cholera and measles outbreaks prevention campaign.  Promotion of health awareness and the National Health Hotline
",None required,,,"25 health promotion messages published on social media 
",,,,,,"25 health promotion messages published on social media 
",,,,,,"25 health promotion messages published on social media 
",,,,,,"100 health promotion messages on NDOH social media placed 
",-,,,,,,,460
Health,Health,National,PROGRAMME 1:ADMINISTRATION,COMMUNICATIONS,Quarterly,Number of Un- announced visits to health facilities by NDOH/ Minister/ Deputy Minister/DG /DDGs,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","The Social Protection, Community and Human Development cluster","2 unannounced visits to health facilities
",0 unannounced visits to health facilities,The events calendar for the quarter under review was full and could not accommodate the activity,"To be implemented in quarter 2
",,,"2 unannounced visits to health facilities
",,,,,,"2 unannounced visits to health facilities
",,,,,,"2 unannounced visits to health facilities
",,,,,,"8 unannounced visits to health facilities NDOH/
Minister Deputy Minister/ DG/DDGs
to observe service delivery
",-,,,,,,,460
Health,Health,National,PROGRAMME 1:ADMINISTRATION,CORPORATE SERVICES,Quarterly,Draft Bill to manage medico-legal claims in South Africa developed,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","The Social Protection, Community and Human Development cluster","Draft Discussion Paper from SALRC
","Draft Discussion Paper from SALRC produced
","Not applicable
","None required
",,,"Review the draft Discussion Paper from SALRC
",,,,,,"Review the final Discussion Paper from SALRC
",,,,,,"Draft Bill to manage medico- legal claims in South Africa deve- loped
",,,,,,"Draft Bill to manage medico-
legal claims in South Africa is finalised
",-,,,,,,,460
