Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q1,National_Q2,National_Q3,National_Q4,UID
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Annually,8.2.2.3 Number of air quality community improvement Projects implemented ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"Driver 1: Economic Transformation, Growth and Development","The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,2,2,2,2,2,None,None,Annual target achieved as planned and maintained the performance achieved in 2023/24 FY.,,,,,,,,,,,,,,,,,,27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Annually,8.2.4.2 Number of registered Eco-Schools,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Driver 3: Environmental Sustainability and Resilience,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,90,0,90,0,0,Target not achieved due to the cost containment  measures  implemented during the 2024/25. ,To address the cost containment measures that will continue to plague this program in the 2025/26 financial year.,No registered Eco-schools during 2024/25 and reflected a decline from 80 schools registered in the 2023/24 FY. ,,,,,,,,,,,,,,,,,,27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Annually,8.2.4.3 Number of teachers trained,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Driver 3: Environmental Sustainability and Resilience,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,90,76,90,76,76,Target not achieved due to the cost containment  measures  implemented during the 2024/25. ,To address the cost containment measures that will continue to plague this program in the 2025/26 financial year.,"Achieved 84,4% against the annual target, by training 76 teachers, which is a decrease from the 101 teachers trained in the 2023/24 FY. ",,,,,,,,,,,,,,,,,,27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Quarterly,8.2.3.2 Number Municipalities supported ,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Driver 3: Environmental Sustainability and Resilience,"The Economic Sectors, Employment and Infrastructure Development cluster",5,7,5,6,2,5,3,3,15,21,21,"The department collaborated with other stakeholders such as CHOGSTA, which in turn led to more achievement. The were also more assistance requested by municipalities, which were not planned for.",None,Annual target achieved and indicated an improvement from the 15 municipalities supported in the 2023/24 FY.,,Ga-Segonyane LM and Joe Morolong LM requested assistance with the development of their IWMP,None,"The targets are aligned to the APP 2024-25. Performance is on track up to the 1st quarter with 7 municipalities supported. (Sol Plaatje, Dikgatlong, Magareng, Phokwane, Dawid Kruiper, Ga-Segonyane and Joe Morolong. Narrative report on page 86 to be reviewed and aligned as it reflects 6 municipalities instead of 7, as this may result in audit findings. ",Kgatelopele LM requested assistance from the department,None,"Performance is on track up to the 2nd quarter. (Gamagara LM, PKS DM, Kareeberg LM, Kgatelopele LM, Hantam LM, Richtersveld LM)","
Stats SA and COGHSTA jointly trained municipalities with DAERL on an Electronic web system for data capturing  and analysis",,"Performance is on track up to the 3rd quarter, with annual target already achieved. Information aligned to the draft narrative report on page 114 (Kai Garib, Siyancuma, Umsobomvuu, Siyathemba, Thembelihle) ",None,None,"Quarterly and annual targets achieved up to the 4th quarter. Information is aligned to the narrative report (Kheis, PKS, Sol Plaatje, Magareng, Phokwane, Kamiesberg, Richtersveld)",,,,,27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Quarterly,8.2.3.3 Number of waste SMME’s supported,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Driver 3: Environmental Sustainability and Resilience,"The Economic Sectors, Employment and Infrastructure Development cluster",2,3,1,1,1,8,1,16,5,28,28,Target was overachieved due to external support from Petco and Polyco,Target has been increased for next financial year.,Annual target achieved and significant improvement reflected from the 13 waste SMMEs supported in the 2023/24 FY. ,,Green Plan recycling in Upington requested bulk bags from the sub-program,None,The targets are aligned to the APP 2024-25. Performance is on track up to the 1st quarter with 3 waste SMME's supported. ,None,None,Performance is on track up to the 2nd quarter. ,Petco conducted training jointly with DAERL  for our waste SMME’s on their business funding opportunities ,,Performance is on track up to the 3rd quarter with the annual target already achieved in Q3. Information aligned to draft narrative report on page 114. ,Target was overachieved due to external support from Petco and Polyco,Target has been increased for outer years,Quarterly and annual target achieved up to the 4th quarter. The Draft narrative report on page 112 reflected that a total of 16 waste SMMEs were assisted in Q4. Please review and align performance data  before final submission.,,,,,27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Quarterly,Percentage of complete Atmospheric Emission Licenses (AELs) issued within legislated timeframes,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",100,100,100,0,100,100,100,100,100,-,100,None,None,Annual target achieved as planned and maintained the performance achieved in 2023/24 FY.,,,,"The targets are aligned to the APP 2024-25. Performance of 80% against the 1st quarter target. 
(FB - 4, PKS -1, JTG - 1, ZFM - 2 within timeframes and 2 out of timeframes in ZFM - 1 and FB - 1.",None,None,"0% Performance reflected. The department needs to provide a reason for deviation. In case there were no applications received for licenses during Q2, the department needs to indicate it as such, so that the deliverable do not contribute to the performance calculation of the department. (Reflected as such in the draft narrative report) ",,,Performance is on track with quarterly targets achieved as planned up to the 3rd quarter. According to draft narrative report on page 108 1 application received and finalised within legislated timeframes) ,None,None,Quarterly and annual targets achieved as planned. Preliminary information aligned to the draft narrative report. (5/5),"The province is on target for Q1 and has achieved the target for the quarter 
","The province did not receive applications during quarter four.
","The province is on target for Q3 and has achieved the target for the quarter 
","The province is on target for Q4 and has achieved the annual target  
",27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Quarterly,Percentage of complete Environmental Impact Assessment (EIA) applications finalized within legislated timeframes,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",100,80,100,33,100,46,100,76,100,-,58,Performance reflects challenges experienced within the unit with regards to EAPASA registered officials who are unable to process EIA’s,None,Achieved 58% against the annual target and reflected a decline from achieving 92% in the 2023/24 FY. ,,2 EA’s were issued out of timeframes due to internal logistics.,None,The targets are aligned to the APP 2024-25. Performance of 80% against the 1st quarter target. Decline reflected in comparison with the previous financial year.,"Ten (10) EIAs were issued out of time frames.
Five (5) EA’s were issued within time frame.
Three of the EIAs that were issued out of time frames were sent to Compliance and Enforcement for Section 24G in December 2023 and were later returned July 2024 for Impact Management for unclear reasons. 
",None,Significant decrease in performance when compared to the 1st quarter. (80% to 33%),Performance reflects challenges experienced within the unit with regards to EAPASA registered officials who are UNable to process EIA’s and inadequate staffing and  tools of trade (laptops),It’s a legal requirement for officials to be registered so punitive measures to be implemented against unregistered officers and follow up to be done on submissions. 1 laptop was received in December 2024. the developed SOP will be implemented to fast-track applications.,"Decrease reflected quarter on quarter with only 15% performance in the 3rd quarter. Average performance of 42,7% up to the 3rd quarter. ",Owing to Vacant posts ,Vacant post to filled,"71% Performance against the quarterly target, but indicated an improvement quarter on quarter from the 2nd to 4th quarter. Preliminary information aligned to the draft narrative report (12/17 EIA issued within legislative timeframes)","The province is below Q1 target and has not achieved the target for the quarter 
","The province is below Q2 target and has not achieved the target for the quarter 
","The province is below Q3 target and has not achieved the target for the quarter 
","The province is below Q4 target and has not achieved the annual target  
",27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 4: Environmental Quality Management,Programme 4: Environmental Quality Management,Quarterly,Percentage of complete Waste License applications finalised within legislated time-frames,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",100,0,100,100,100,0,100,0,100,-,100,None,None,"Annual target achieved as planned, with applications only received in Q2.  ",,No applications were received.,None,The targets are aligned to the APP 2024-25. No applications received during the 1st quarter and therefore this deliverable will not contribute to the departmental performance calculation.,None,None,Performance is on track up to the 2nd quarter.,,,Performance is on track with quarterly targets achieved as planned up to the 3rd quarter. 0% performance reflected in the 3rd quarter due to no applications received. Please indicate as reason for deviation. This deliverable will not contribute to the performance calculations for the programme and department for the 3rd quarter.,NAR,None,"No Applications received in Q1, Q3 and Q4. DAERL achieved 100% applications received in the 2nd quarter. ","The province did not receive applications for the quarter. 
","The province is on target for Q2 and has achieved the target for the quarter 
","The province is below Q3 target and has not achieved the target for the quarter. Please provide the challenges and corrective measure. 

 
","The province did not receive applications for the quarter under review 
",27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 5:  Biodiversity Management,Programme 5:  Biodiversity Management,Annually,Number of Biodiversity Economy initiatives implemented,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,3,3,3,3,3,None,None,Annual target achieved as planned and improved from the 1 initiative implemented in the 2023/24 FY. ,,,,,,,,,,,,,,,,,,27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 5:  Biodiversity Management,Programme 5:  Biodiversity Management,Annually,Number of hectares under the conservation estate,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,30000,36160.6372,30000,36160.6372,36160.6372,The streamlining of the declaration processcontributed to a larger area being added to the conservation estate,None,Annual target achieved and reflected an improvement in comparison with 0ha achieved in the 2023/24 FY. ,,,,,,,,,,,,,,,,,,27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 5:  Biodiversity Management,Programme 5:  Biodiversity Management,Annually,Percentage of area of state managed protected areas assessed with a METT score above 67%,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,30 %,59.26 %,30 %,59.26 %,59.26,The improvement in METT score is due to (1) integrated management plans being compiled in-house and (2) additional human resource capacity obtained through partnerships with DEDAT and NDT,None,"Annual target achieved and indicated an improvement from 46% to 59,26% when compared to the 2023/24 FY. ",,,,,,,,,,,,,,,,,,27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 5:  Biodiversity Management,Programme 5:  Biodiversity Management,Quarterly,8.3.3.1 Number of coastal engagement sessions conducted,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Driver 3: Environmental Sustainability and Resilience,"The Economic Sectors, Employment and Infrastructure Development cluster",1,1,1,0,1,2,1,1,4,4,4,None,None,Annual target achieved and declined slightly from the 5 engagements conducted in 2023/24 FY. ,,,,The targets are aligned to the APP 2024-25. Performance is on track up to the 1st quarter with the quarterly target achieved as planned. ,No PCC took place during Q2,Engagement sessions with local coastal municipalities planned for Q3 to address underperformance in Q2.,"No performance reflected in Q2, with 25% achieved against the annual target up to the 2nd quarter. ",An additional engagement session was held to address the under-achievement in Quarter 2,,Performance is on track up to the 3rd quarter with the gap of Q2 addressed. 75% achieved against the annual target up to Q3. Information aligned to the draft narrative report on page 124.,None,None,Quarterly and annual target achieved up to the 4th quarter. Information aligned to the narrative report on page 120.,,,,,27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 5:  Biodiversity Management,Programme 5:  Biodiversity Management,Quarterly,Percentage of complete biodiversity management permits issued within legislated timeframes,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",90 %,96 %,90 %,96 %,90 %,98 %,90 %,94 %,90 %,384 %,96,The processing of biodiversity permits continues to receive high priority given the contribution of the wildlife industry to the economy of the Northern Cape,None,Annual target achieved and slight improvement reflected from the 95% achieved in the 2023/24 FY. ,,,,The targets are aligned to the APP 2024-25. Performance is on track up to the 1st quarter. Please provide a reason for deviation for the slight over performance before the final submission on 31 July 2024.,Processing of permits is prioritized due to its  economic contribution to the wildlife industry and provincial economy,None,Performance is on track up to the 2nd quarter. Please provide a reason for deviation before the final submission on 31 October 2024,The processing of biodiversity permits continues to receive high priority given the contribution of the wildlife industry to the economy of the Northern Cape,,"Performance is on track up to the 3rd quarter with an average performance of 96,3% up to Q3.",The processing of biodiversity permits continues to receive high priority given the contribution of the wildlife industry to the economy of the Northern Cape,None,"Quarterly target achieved, however a slight decrease reflected in comparison with the previous quarter. Average performance across the four quarters at 96%, achieving the annual target. Information is aligned to the narrative report on page 113. ","The province is above Q1 target and has achieved by exceeding the target for the quarter 
","The province is above Q2 target and has achieved by exceeding the target for the quarter 
","The province is above Q3 target and has achieved by exceeding the target for the quarter 
","The province is on target for Q4 and did achieved the annual target  
",27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 6:	Environmental Empowerment Services  ,Programme 6:	Environmental Empowerment Services  ,Annually,Number of work opportunities created through environment sector public employment programmes,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,210,659,210,659,659,"The department has exceeded the planned target due the rearrangement of the roll out of Philandersbroon Project and the implementation of the Presidential Employment Stimulus project. 
",None,Annual target over achieved and indicated an improvement from 276 achieved in the 2023/24 FY. ,,,,,,,,,,,,,,,,,,27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 6:	Environmental Empowerment Services  ,Programme 6:	Environmental Empowerment Services  ,Quarterly,Number of environmental awareness activities conducted,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Economic Sectors, Employment and Infrastructure Development cluster",10,5,10,12,5,14,5,5,30,36,36,Number of environmental calendar days were more in the 3rd Quarter so the target will be adjusted to suit the quarters demand.,None,Annual target achieved and less than the 44 conducted in the 2023/24 FY. ,,"Quarterly target not reached. 
The unit has vacant and funded posts that needs to be filled ASAP for us to reach this target easy on a quarterly basis.
",More awareness campaigns are planned for Q2.,The targets are aligned to the APP 2024-25. Performance required to be populated and reasons for deviation to be reflected before final submission on 31 July 2024.,"Due to request from individual stakeholders, the planned target was exceeded.",None,"Quarterly target achieved, however the gap of the 1st quarter still remain. 50% Achieved against the annual target up to the 2nd quarter. (PKS - 1, FB - 4 and JTG - 5 as reflected in draft narrative report)","With the increasing demand for environmental awareness, more awareness activities were conducted.",Number of environmental calendar days were more in the 3rd Quarter so the target will be adjusted to suit the quarters demand,Performance is on track with the annual target already achieved in the 3rd quarter. ,,,"80% Performance achieved against the quarterly target, with an over performance in Q2 and Q3, resulting in the achievement of the annual target up to the 4th quarter. There was a decrease in performance in comparison with the previous FY  from 44 to 35.","The province is below Q1 target and has not achieved the target for the quarter 
","The province is on target for Q2 and has achieved the target for the quarter 
","The province is above Q3 target and has achieved by exceeding the target for the quarter 
","The province is below Q4 target and has achieved the annual target  
",27
Environmental Affairs,Environmental Affairs,Northern Cape,Programme 6:	Environmental Empowerment Services  ,Programme 6:	Environmental Empowerment Services  ,Quarterly,Number of environmental capacity building activities conducted,Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",-,"The Economic Sectors, Employment and Infrastructure Development cluster",4,8,4,3,4,5,4,1,16,17,17,"Due to the interest of farmers and other stakeholders, more workshop were conducted in quarter 1. Hence the annual target of 16 capacity building activities was already achieved in Quarter 3.",None,Annual target achieved and slightly less than the 18 conducted in 2023/24 FY. ,,"We over achieved this indicator due to the interest of farmers, emerging farmers and other stakeholders who attended this workshop due to the topic presented",None,The targets are aligned to the APP 2024-25. Performance is on track up to the 1st quarter. ,"The reason for 3 workshops was that already in quarter 1, 8 workshops were done.",None,"75% performance in Q2 against the quarterly target, but performance is on track due to an over-performance in Q1. 68,8% achieved against the annual target up to the 2nd quarter. (PKS - 2 and Namakwa 1)",An additional capacity building activity was done to address the under-achievement in Quarter 2,,"Performance is on track with the annual target already achieved in the 3rd quarter. Information aligned to the draft narrative report on page 124-125 at Oorlogskloof, Nababeep, Oranjeriviermond, Gamsberg and Witsand.","Due to the interest of farmers and other stakeholders, more workshop were conducted 
 in quarter 1. Hence the annual target of 16 capacity building activities was already achieved in Quarter 3.",None,"25% Performance achieved against the quarterly target, with over performance in Q1 and Q3, the annual target was achieved in Q3. ",,"The province is below Q2 target and has not achieved the target for the quarter. However three workshops was that already in quarter 1, 8 workshops were done. 
","The province is above Q3 target and has achieved by exceeding the target for the quarter 
","The province is below Q4 target and has achieved the annual target  

",27
