Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,UID
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Plant Production and Health,Annually,2.1.1 Number of new plant varieties registered,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Social Protection, Community and Human Development cluster",,,,,,,,,200,,317,Unsuccessful trials were replanted during the 2022/23 financial year and presented the need to register additional varieties,N/a,317,,,,,,,,,115
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Plant Production and Health,Annually,3.6.1 Number of  new GMO events approved ,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Social Protection, Community and Human Development cluster",,,,,,,,,10,,10,N/a,N/a,10,,,,,,,,,115
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Plant Production and Health,Quarterly,2.2.1 Cannabis Master Plan implemented,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",Quarterly progress report on implementation of Cannabis Master Plan,"Quarterly progress report on the implementation of Cannabis Masterplan was compiled

",Quarterly progress report on implementation of Cannabis Master Plan,"Quarterly progress report on the implementation of Cannabis Masterplan was compiled
",Quarterly progress report on implementation of Cannabis Master Plan,"Quarterly progress report on implementation of Cannabis Masterplan was developed

", Annual report on implementation of Cannabis Master Plan developed,"Annual report on implementation of Cannabis Masterplan was developed
",Annual report on implementation of Cannabis Master Plan developed,-,Annual report on implementation of Cannabis Master Plan was developed,N/A,N/A,"Annual
Report on
Implementa
tion of Cannabis
Master-
Plan was
developed",N/A,N/A,"N/A
","N/A
",N/A,N/A,N/a,N/a,115
,"Agriculture, Land Reform and Rural Development",National,"Programme 2: Agricultural Production, Biosecurity and Natural Resources Management",Plant Production and Health,Quarterly,3.1.1  Number of plant pest risk surveillances conducted,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Social Protection, Community and Human Development cluster",3 plant pest risk surveillances conducted (Exotic fruit fly; Citrus greening survey; and Banana bunchy top virus),"Report on 3 plant pest risk surveillances conducted (Exotic fruit fly; Citrus greening survey; and Banana bunchy top virus) was compiled

",3 plant pest risk surveillances conducted (Exotic fruit fly; Citrus greening survey; and Banana bunchy top virus),"3 plant pest risk surveillances have been conducted (Exotic fruit fly; Citrus greening survey; and Banana bunchy top virus) 
",3 plant pest risk surveillances conducted (Exotic fruit fly; Citrus greening survey; and Banana bunchy top virus),"3 plant pest risk surveillances have been conducted (Exotic fruit fly; Citrus greening survey; and Banana bunchy top virus) and a report was compiled
",3 plant pest risk surveillances conducted (Exotic fruit fly; Citrus greening survey; and Banana bunchy top virus),"3 plant pest risk surveillances have been conducted (Exotic fruit fly; Citrus greening survey; and Banana bunchy top virus) 
",3 plant pest risk surveillances conducted (Exotic fruit fly; Citrus greening survey; and Banana bunchy top virus),-,3 plant pest risk surveillances have been conducted (Exotic fruit fly; Citrus greening survey; and Banana bunchy top virus) and report was compiled,N/A,N/A,"3 plant
pest risk
surveillance
s were conducted
(Exotic fruit
fly; Citrus
greening
survey; and
Banana Bunchy Top Virus (BBTV))",N/A,N/A,"N/A
","N/A
",N/A,N/A,N/a,N/a,115
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Food Security,Annually,5.2.1 Number of new students enrolled at agricultural training institutes,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health","The Social Protection, Community and Human Development cluster",,,,,,,,,800,,961,"Colleges opted to reconsider their admission targets due to high number of applications received

",None ,961,,,,,,,,,115
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Food Security,Quarterly,5.1.1 Number of extension personnel recruited,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,2500,0,2500,"0 
",0,0,5000,0,3566,The target was overachieved due to a need to strengthen support to CPAs that was highly prioritised by the political principals and this pushed for more aggressive campaigns that led to more members of CPAs showing interested and attending training sessions.,,3566,N/A,N/A,"The employment of 10 000 Extension Practitioners is an unfunded mandate, thus no dedicated funds to implement. Attempts to reprioritize funds internally were not successful. 
","4537 AAPs to be appointed in Q4 from the Departmental Savings . Facilitate approval for virement of funds from Households to recruitment of Extension Practitioners. Business case for the employment of 10 000 Extension Practitioners  developed. Request for funding tabled at EXCO, Departmental Budget Committee, National Treasury and Parliament (for MTEF & internal budget reprioritization).

","A total of 742 appointment letters was received. However, HR is currently capturing about 4 346 Extension personnel who resumed duty on 03 January 2023. These numbers are not accounted for in the output  because validation process  for correctness and validity  while been captured in the persal system is in progress. 
","Once validation and capturing in the persal is concluded, the total number recruited  will then be reported  in the reporting cycle for Q4.
",N/A,N/A,115
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Land Redistribution and Tenure Reform,Quarterly,4.1.1 Number of communal property associations (CPAs) members trained on governance ,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",97,783,198,1022,160,828,130,415,585,3048,3064,The target was overachieved due to a need to strengthen support to CPAs that was highly prioritised by the political principals and this pushed for more aggressive campaigns that led to more members of CPAs showing interested and attending training ,N/A,3064,"The target was overachieved due to the interest on training that has been shown by members of CPAs across the country after Ministerial oversight visits by Minister and Deputy Ministers.
 
","None except to monitor progress since the APP target has been achieved and the AOP performance report will account to the additional achievements on this indicator.

","The target was overachieved as a result of the campaign by the Branch to provide training of all new members of CPA governance and compliance with the Act and this was triggered CPA oversight visits by Minister and Deputy Ministers. 

","None except to monitor progress since the APP target has been achieved and the AOP performance report will account to the additional achievements on this indicator accordingly.

","The target was overachieved due to the interest on training that has been shown by members of CPAs across the country after Ministerial oversight visits and the interest of CPA members to develop management capacity within the association. 

","None except to monitor progress since the APP target has been achieved.
","The target was overachieved due to the interest on training that has been shown by members of CPAs across the country after Ministerial oversight visits and the interest of CPA members to develop management capacity within the association.
",None ,115
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Land Redistribution and Tenure Reform,Quarterly,5.3.1 Number of farms supported through the Land Development Support Programme ,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Social Protection, Community and Human Development cluster",17,6,30,30,24,24,12,26,83,86,83,N/A,N/A,83,"Invoices submitted by Commodity Organizations not compliant  thus causing the delays.  Challenges of sourcing goods and services in line with approved budget because of price escalations.
","PSSCs are to immediately advise suppliers on the standards required on invoices to ensure compliance.
Where there are price escalations which cannot be negotiated or accommodated within the approved budget, farmers are to be advised to deviate as per LDS Policy or where the interest has been generated the request to use such must be effected.
",N/A,N/A,N/A,N/A,"The acceleration of implementation as per the catch-up plan resulted in lot of recoveries been done on those not supported as planned in previous quarters. 
",None ,115
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Land Redistribution and Tenure Reform,Quarterly,5.4.1 Number of hectares acquired through Proactive Land Acquisition Strategy (PLAS) ,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Economic Sectors, Employment and Infrastructure Development cluster",2437,13102.7218,12103,"2 206,1827
",10493,"11 541,3
",10149,"23 850,629
",35182,0,57009657,Target was exceeded due to bigger farms that were acquired in the Northern Cape and North-West. The farms acquired were bigger than targeted and there was budget moved for the acquisition.,N/A,507009657,"Farms that were projected to be transferred in the last financial year were carried over and transferred in the current reporting period.


","Monitor and Manage the APP/AOP Provincial Implementation plans by-weekly.
 
","Delays in finalization of valuations by the OVG impacted negatively on the acquisition of farms
Many landowners rejecting to accept the OVG offers.
","Monthly meetings with the OVG have been initiated in order to track valuations.

Bi-weekly performance monitoring meetings are being implemented, landowners have accepted land acquisition offers of 29443 hectares of which 14198 hectares have already been approved and are now at Conveyancing. 
","Target exceeded due to bigger farms that were acquired in the Northern Cape.

","
None. However, bi-weekly performance monitoring meetings will be continued to ensure that even in Q4 targets are achieved.","Target exceeded due to bigger farms that were acquired in the North West, Northern Cape and Western Cape
",None ,115
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Land Redistribution and Tenure Reform,Quarterly,5.4.2 Number of hectares acquired farm dwellers and/or labour tenants or ESTA occupiers,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Economic Sectors, Employment and Infrastructure Development cluster",0,0,868,"689,4861
",2261,"328,4
",1871,"1 317,8737
",5000,"2335,7598",52700455,"Target exceeded due to bigger farms that were acquired in the North-West, Gauteng and Limpopo",N/A,52700455,N/A,N/A,"Delays in the appointment of conveyancers. Delays from OVG in issuing offers and delays from conveyancers. Declines of OVG offers by landowners . Delays on disposal of land acquired for labour tenants and Occupiers.
","There are properties that are already approved to meet the set target and land transfers will be expedited.

Improve turnaround time from OVG in finalizing valuations through Monthly meetings.

Bi-weekly performance monitoring meetings will be enhanced.  
","
Delays in finalization of valuations by the OVG impacted negatively on the acquisition of farms.
Many landowners rejecting the OVG land valuations.
Delays by Municipalities in terms of SPLUMA compliance.
","There are properties at the advance stage of acquisition and the process will be expedited.
Improve turnaround time from OVG in finalizing valuations through Monthly meetings.

","Delays in finalization of valuations by the OVG impacted negatively on the acquisition of farms.
Many landowners rejecting to accept the OVG offers. Turnaround time from SCM in Provinces for appointment of conveyancers remains a challenge. Delays in subdivisions approval by SPLUM Branch in Provinces.
Delays by Municipalities in terms of SPLUMA.
","Minimize dependencies in the projects targeted for acquisition
",115
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Land Redistribution and Tenure Reform,Quarterly,5.5.1 Number of hectares allocated,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Economic Sectors, Employment and Infrastructure Development cluster",2530,3429.8178,12318,"13 332,1044

",7091,"2 631,3
",12104,"43170,9575
",34043,0,637647959,"Target exceeded due to allocations in North-West and Northern Cape who did not have targets but however . able to identify the farms for allocation

",N/A,637647959,"Properties that got delayed for allocation in Q4 of 2021/2022 financial year, were carried over to Q1 of 2022

","Monitor and Manage the APP/AOP Provincial Implementation plans by-weekly
","KZN province experienced delays in finalising allocations in Q1 and consequently under-achieved in Q1. Therefore, some of the allocations that were supposed to be finalised in Q1 had to be rolled over to Q1, thus leading to overachievement on Q2 targets. Furthermore, the NW province exceeded its target for Q2 due to the farm Brulpan that was previously invaded, and the province managed to have the invaders successfully evicted so that the allocation could proceed. The province had initially anticipated that the eviction would take longer and had, thus, not planned for allocation of this farm in Q2

","Monitor and manage the APP/ AOP Provincial Implementation plans bi-weekly.
","
Properties acquired late in the quarter could not be allocated within this period.
","Bi-weekly performance monitoring meetings will be intensified to ensure that these properties are allocated in Q4.
","Target exceeded due to allocations in North-West and Northern Cape. 

",None ,115
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Restitution,Quarterly,5.6.1 Number of  land claims settled,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",48,35,79,67,108,53,101,199,336,354,355,"The settlement of projects with multiple claims i.e. Eastern Cape, Gauteng, KwaZulu-Natal, Limpopo, Mpumalanga , Northern Cape and Western Cape",N/A,355,Waiting for approval for the 2022/23 Standard Settlement Office (SSO) i.e. Gauteng and Limpopo and offers to be signed i.e. Eastern Cape,Gauteng earmarked 14 claims for settlement in Q2.Limpopo to amend offers and Section 42D submissions in line with the new approved SSO policy. Eastern Cape to translate offers into Section 42D submissions ,"Delays in acceptance of offers as well as rejection of offers i.e. Eastern Cape, Northern Cape. Delays with the finalisation of business processes i.e. KwaZulu-Natal.
","Continued review of progress and speedy identification of interventions.-Eastern Cape to translate approved offers into Section 42D submissions. KwaZulu-Natal to prioritise Section 42D submissions in Quarter 3 not routed in Quarter 2 . Northern Cape referred rejected offers to Court.
","Delays in getting valuation certificates from OVG i.e Kwa-Zulu Natal, Limpopo, North West & Western Cape. Delays in approval and acceptance of offers i.e Eastern Cape, Kwa-Zulu Natal and Mpumalanga. Delays in signing of Steelpoort Drift Research Report i.e Limpoo office. ",Relevant regional offices to liaise with OVG where valuation certificates are still outstanding. Offices to follow-up on outstanding Offers. Steepoort individual  land claims Section 42D for 38 claims submitted to national office & earmarked for presentation in QCC earmarked for 26 Jan 2023. Continue to review of progress and implementation of interventions in Q4.,"The over-achievement of 98 in Q4 is mainly due to the following:
Implementation of catch-up plans resulted in the settlement of additional claims in the period under review to address the Q1-Q3 backlogs.

Settlement of claims in Q4, earmarked for previous quarters.

The settlement of projects with multiple claims i.e. Eastern Cape, Gauteng, KwaZulu-Natal, Limpopo, Mpumalanga and Western Cape",N/A,115
,"Agriculture, Land Reform and Rural Development",National,"Programme 3: Food Security, Land Reform and Restitution",Restitution,Quarterly,5.6.2 Number of  land claims finalised,Non-Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government","The Social Protection, Community and Human Development cluster",58,80,83,61,130,91,101,187,372,419,429,"The over performance is attributed to the non-compliant claims which are planned for; however, no targets were set as the Commission would not be able to plan for when the final non-compliance letter would be signed.
",N/A,429,"The over achievement of 22 claims in Quarter 1 is mainly due to the 18 Steelpoortdrift Individual Land Claims finalised by the Limpopo office , 25 non-compliant claims finalised by the KwaZulu-Natal office and 14 claims finalised through the transfer of state land by the Western Cape office.",N/A,"Untraceable claimants and delays in processing claims for dismissals i.e. KwaZulu-Natal. Delays in processing of payments at National Office due to Network down time i.e. KwaZulu-Natal, Mpumalanga. -Claims targeted for Quarter 2 were finalised in Quarter 1 i.e. Western Cape. This relates to the finalisation of claims through transfer of state land as reported in Q1
","Payments and dismissals to be processed in Quarter 3 to address the Quarter 2 backlog. Adherence to quarterly targets 
","Untraceable claims and closed bank accounts of beneficiaries i.e Eastern Cape. Outstanding documents from claimants/beneficiaries is Eastern Cape and Gauteng. Delays with processing payments i.e Free State, Kwa-Zulu Natal & Mpumalanga. Properties prioritized for transfer not materializing due to State's Attorney additional requirements for the registration of the deeds i.e Western Cape. ","Payments and dismissals to be processed in Q4 by Eastern Cape, Free State, Gauteng, Kwa-Zulu Natal and Mpumalanga. Finalising the required documents for the state attorney by the western Cape Office for the delayed transfer to be processed in Q4. Continued review of progress and implementation of interventions in Q4 ","The over-achievement of 86 in Q4 is mainly due to the following:

Implementation of catch-up plans resulted in the finalisation of additional claims to address the Q2 and Q3 backlogs

40 claims finalised through non-compliance (i,e. Eastern Cape, Gauteng, KwaZulu Natal and Mpumalanga).

31 claims finalised through declaration of funds (i.e. Eastern Cape, Free State and Gauteng)",N/A,115
,"Agriculture, Land Reform and Rural Development",National,Programme 4: Rural Development,National Rural Youth Service Corps (NARYSEC),Quarterly,6.1.1 Number of NARYSEC youth trained,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Social Protection, Community and Human Development cluster",52,207,253,204,107,1183,287,296,699,1890,2019,"Additional skills development interventions 
was provided to youth.  

Moreover, with provision of the Technical Indicator Description (TID), youth can be counted more than once as long as they received a different type of structured training programme or different type of training.",N/A,1079,"A total of 155 certificates were issued earlier than the envisioned turn-around times 
",,"The target variance of -49 youth trained in building & Civil Construction reflected in Q2 was achieved in Q1 as part of the overachievement of 155 issuance of training certificates review.
","he backlog/longstanding certificates will serve as a catch-up plan towards improving performance
",Target over-achieved due to the recruitment of new NARYSEC youth in July 2022 and these youth then being certified upon completion of their Youth Leadership Development Training and Enterprise Development Training.,N/A,Additional skills development was provided to youth. Youth completed the skills and were certified,N/A,115
,"Agriculture, Land Reform and Rural Development",National,Programme 4: Rural Development,Rural Infrastructure Development,Quarterly,6.2.1 Number of infrastructure projects completed,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Economic Sectors, Employment and Infrastructure Development cluster",3,11,17,38,18,33,31,63,69,145,197,"Targets overachieved due to the following:
•Interventions made to Foot and Mouth Disease (FMD)
•Projects being completed ahead of planned period
•Rolled over projects from the previous financial year(2021/22) completed in 2022/23 FY",N/A,197,"Carry overs projects from  2021/ 2022 FY been completed under this reporting period of  2022/23 FY
",N/A,"LP: Targets overachieved due to projects initiated in the 2021/22 reaching practical completion in the 2022/23 FY. 

GP: Target overachieved due to projects being completed Target overachieved due to projects being completed ahead of planned period being Q3. of planned period. 
",N/A,Targets overachieved due to projects being completed ahead of planned period.,N/A,Targets overachieved due to projects being completed ahead of planned period,N/A,115
,"Agriculture, Land Reform and Rural Development",National,"Programme 5: Economic Development, Trade and Marketing","Agro-processing, Marketing and Rural Industrial Development ",Quarterly,7.3.1 Number of FPSUs supported towards functionality,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Social Protection, Community and Human Development cluster",0,,2,0,14,0,27,13,43,13,12,"Delays in
approving
projects in
the interest
of improving
controls by
approval
committee,
unfortunatel
y led to
delays in
the
implementat
ion of some
components
. Therefore,
support to
some
FPSUs was
not fully
provided at
the end of
2022/23.
",,12,,,"Request for financial resources was not approved  to enable implementation under period under review
","Shortcomings in the applications which mostly has to do with lack of  proper business plans has been communicated  back to PSSCs and this is been attended to. Matter to be resolved in Q3

","Non provision of all 5 elements for period under review defined as required for FPSUs functionality in TID. 
","
Review indicator and TID to encourage targeted support which is predetermined
","
Non provision of all 5 elements for period under review defined as required for FPSUs functionality in TID. Twelve FPSUs were assisted with some but not all of the 5 elements as follows, 8 KZN, 2 NW, and 2 WC
","Indicator and TID for 2023/24 has been reviewed to encourage targeted support which is predetermined to focus on what matters most, been the benefits derived from FPSUs
",115
