ReportTitle,Textbox95,Textbox80,Textbox81,Textbox82,Textbox83
QPR for FY 2020-21 National Institutions Oversight Performance  Report as of ( FY 2020-21),Location/s: National,InstitutionType:   National,"Institution:   Agriculture, Forestry and Fisheries (2015-2020), Agriculture, Land Reform and Rural Development, Arts and Culture (2015-2020)",FinancialYear:   FY 2020-21,"Report Printed On:   Thursday, February 9, 2023 9:04:51 AM"

Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
,"Agriculture, Land Reform and Rural Development",National,"Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ","Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ",Quarterly,2.2.1 Number of animal improvement schemes for prioritised value chain commodities implemented,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all",Not Applicable,Mobilisation of farmers and data collection for KyD and poultry schemes,"Officials have not been able to do mobilization 
of farmers or physical projects/ farm visits: Not Achieved","The process was put on hold due to the lockdown.  
",Mobilisation of farmers will be accelerated from Q2.,,,Mobilisation of farmers and data collection for KyD and poultry schemes,"Data is sent by farmers electronically is been assessed.
 

Not achieved   
","The actual mobilization has not happen as conditions were still not very conducive due to some limited restrictions due to lockdown. 
","Plans are ben finalized  to restart with physical visits to projects for the purpose of continuing with data collection
",,,Mobilisation of farmers and data collection for KyD and poultry schemes,"Data collection is underway for Poultry as farmers have been providing data electronically
",The actual mobilisation has not happened as conditions were still not very conducive due to some limited restrictions due to lockdown.,"Plans are been finalised  to restart with physical visits to projects for the purpose of continuing with data collection.
",,,2 animal improvement schemes (KyD and poultry) implemented,"Two animal improvement schemes partially implemented, data was collected on existing poultry farmers for layers and broilers. No implementation took place for KYD. A final report has been compiled but not approved
","The actual mobilisation has not happened as conditions were still not very conducive due to some limited restrictions due to lockdown however data on poultry was collected for existing farmers. 
","Plans are been finalised  to restart with physical visits to projects for the purpose of continuing with data collection in 2021/22.
",,,2 animal improvement schemes (Kaonafatso ya Dikgomo and poultry) implemented,-,"1 improvement
Scheme (poultry) was implemented. 
implemented  ","The actual mobilisation for KYD could not occur due to unfavourable conditions to have large gatherings in compliance with COVID 19 restrictions. as a result of lockdown With regard to poultry scheme, data that was used is of  existing farmers.",,,,"1 improveme
nt scheme (poultry) was implemented",98
,"Agriculture, Land Reform and Rural Development",National,"Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ","Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ",Quarterly,2.3.1 Cannabis Master Plan implemented,Non-Standardized,Not  Applicable,Protect and enhance our environmental assets and natural resources,Not Applicable,Draft Cannabis Master Plan developed,"The first draft Cannabis Master Plan
 was compiled: Achieved
",None ,N/A,,,Cannabis Master Plan approved,Not applicable,"Not applicable
","Not applicable
",,,Awareness programmes on Cannabis Master Plan,,,,,,Awareness programmes on Cannabis Master Plan,N/A,N/A,N/A,,,Cannabis Master Plan developed,-,Draft Cannabis Master Plan was developed,"The intended target for q1 was development draft cannabis master plan which was achieved, the reflected deviation is a result of evaluating the reported actual achievement for q1 against annual target.",,,,Draft Cannabis Master Plan was developed,98
,"Agriculture, Land Reform and Rural Development",National,"Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ","Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ",Quarterly,2.3.1 Cannabis Master Plan implemented,Non-Standardized,Not  Applicable,Protect and enhance our environmental assets and natural resources,"The Social Protection, Community and Human Development cluster",-,,,,,,Consultations on the draft Cannabis Master Plan,"Consultations on the draft Cannabis Master Plan were conducted 
Achieved   
",Not applicable,Not applicable,,,Consultations on the draft Cannabis Master Plan,"Consultations on the draft Cannabis Master Plan were conducted 
",n/a,n/a,,,Cannabis Master Plan approved,"Version 5 Cannabis Master Plan developed
","Cannabis Master Plan not approved. A decision was taken to subject this draft to a series of further consultation processes with representatives of the industry, other government departments, provinces, labour, communities, other SOEs, growers, universities and other stakeholders in the Cannabis sector.
","A communication plan was developed in order to plan these engagements which will happen in the 2021/22 financial year. 
",,,Cannabis Master Plan approved,-,"Version 5 of Cannabis Master Plan has been developed.

"," A huge interest shown in this subject by various stakeholders led to the need to expand consultations to get inputs widely. Other key stakeholders that had to be engaged include representatives of the industry, other government departments, provinces, labour, communities, other SOEs, growers, universities and other stakeholders in the Cannabis sector",,,,Version 5 of Cannabis Master Plan has been developed,98
,"Agriculture, Land Reform and Rural Development",National,"Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ","Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ",Quarterly,2.4.1 Number of Provinces with delineated protected agricultural areas,Non-Standardized,Not  Applicable,Protect and enhance our environmental assets and natural resources,Not Applicable,Spatial delineated report,"Draft report compiled: Achieved
",None,N/A,,,Consultation with province - Gauten,"Virtual consultations with Gauteng and Mpumalanga Province took place

Achieved
","Prior COVID 19, the plan was to have face to face consultation in affected Province i.e Gauteng and Mpumalanga on separate dates. However with virtual meeting, both Provinces were able to connect on the same day. 
","Not applicable
",,,Consultation with province - Mpumalanga,"Virtual consultations with Mpumalanga Province already took place in Q2
","Prior COVID-19, the plan was to have face to face consultation in affected Province i.e. Gauteng and Mpumalanga on separate dates. However with virtual meeting, both Provinces were able to connect on the same day. 
",n/a,,,2 provinces with delineated protected agricultural areas,"Final report on two (Gauteng and Mpumalanga)  provincial protected agricultural areas (PAAs) with delineated protected agricultural areas has been compiled
",N/A,N/A,,,2 provinces with delineated protected agricultural areas,-,Two provinces (Gauteng and Mpumalanga) are delineated Protected Agricultural Areas. Final report to this effect has been compiled. ,N/A ,,,,2 provinces (Gauteng and Mpumalanga) are delineated protected agricultural areas. Final report to this effect has been compiled,98
,"Agriculture, Land Reform and Rural Development",National,"Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ","Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ",Quarterly,3.1.1 Number of plant pest risk surveillance conducted,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Social Protection, Community and Human Development cluster",-,,,,,,Quarterly progress report,"A progress report was compiled 
Achieved   
","Not applicable
","Not applicable
",,,Quarterly progress report,,,,,,3 Plant pest surveillances conducted (Exotic fruit fly surveillance; Citrus Greening Survey; Banana bunchy top virus),"3 plant pest surveillances conducted (Exotic fruit fly Surveillance; Citrus Greening Survey; Banana bunchy top virus ) and a report has been compiled
",N/A,N/A,,,3 Plant pest surveillances conducted (Exotic fruit fly surveillance; Citrus Greening Survey; Banana bunchy top virus),-,3 plant pest surveillances were conducted (Exotic fruit fly Surveillance; Citrus Greening Survey; Banana bunchy top virus ) ,N/A,,,,3 plant pest surveillances were conducted (Exotic fruit fly surveillance; Citrus Greening Survey; Banana bunchy top virus),98
,"Agriculture, Land Reform and Rural Development",National,"Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ","Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ",Quarterly,3.1.2 Number of animal disease risk surveillances conducted,Non-Standardized,Not  Applicable,Protect and enhance our environmental assets and natural resources,Not Applicable,Reviewed guidelines for the Surveillance Strategy sent to provinces ,"The guidelines for the FMD, PPR and CBPP surveillance systems were 
reviewed and found to be suitable and fit for purpose and therefore left unchanged: Achieved 
",None ,N/A,,,Analysis Report on Surveillance Results,"Surveillance results for the FMD, PPR and CBPP that were released by the laboratory was collated, captured and analysed. A report on the surveillance results has been generated 
Achieved 
",Not applicable,Not applicable,,,Analysis Report on Surveillance Results,"An analysis report on the surveillance results has been generated 
",n/a,n/a,,,"3 animal disease risk surveillances conducted (CBPP, PPR, FMD) ","3 animal diseases risk surveillances conducted (CBPP, PPR, FMD) and reports have been compiled
",N/A,N/A,,,"3 animal disease risk surveillances conducted (CBPP, PPR, FMD) ",-,"3 animal diseases risk surveillances were conducted (CBPP, PPR, FMD) ",N/A,,,,"3 animal diseases risk surveillances were conducted (CBPP, PPR and FMD)",98
,"Agriculture, Land Reform and Rural Development",National,"Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ","Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ",Quarterly,3.2.1 Percentage of eligible veterinarians placed under the CCS programme,Non-Standardized,Not  Applicable,A skilled and capable workforce to support an inclusive growth path,Not Applicable,"Receipt of applications for placement

Placement of applicants using the online system and manual",Applications for placement using the online system have not yet been received: Not Achieved,"The identified CCS posts have not yet been advertised to the students. There has been delays in approval of the Standard Operating Procedure for the Placement of CCS veterinarians
","The application and placement processes will be engaged for finalization once the SOP is approved
",,,Notification of the outcomes of the placement process to the employed and deployed CCS veterinarians,"Placement outcome notification was sent to 170 candidates who have been placed and are expected to perform CCS in 2022.

Achieved
",Not applicable,Not applicable,,,-,,,,,,100% eligible veterinarians placed under the CCS programme,"144 eligible veterinarians translating into 100 % have been placed under CCS programme.
",N/A,N/A,,,100% eligible veterinarians placed under the CCS programme,-," 100 % eligible veterinarians have been placed under CCS programme.100% is due to all 144 eligible veterinarians been placed. 

",N/A,,,,100% eligible veterinarians have been placed under CCS programme. 100% was achieved due to all 144 eligible veterinarians being placed,98
,"Agriculture, Land Reform and Rural Development",National,"Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ","Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ",Quarterly,3.3.1 Number of new agricultural input products registered,Non-Standardized,Not  Applicable,Not Applicable,"The Social Protection, Community and Human Development cluster",1500,388,"Very little works was done for almost two months due to the covid-19 lockdown
",Operations to process applications have resumed under lockdown level 3,,,1200,Not applicable,Not applicable,Not applicable,,,1310,,,,,,1340,N/A,N/A,N/A,,,6350,388,118,118 products were registered against a quarter 1 target of 1500 resulting in variance of 1382.This was due to Covid 19 restricted clients from physically submitting the applications. As a result less work was done in quarter one. 6232 is annual variance. ,,,,118,98
,"Agriculture, Land Reform and Rural Development",National,"Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ","Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ",Quarterly,3.3.1 Number of new agricultural inputs produced,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all",Not Applicable,0,,,,,,1200,,,,,,1310,469,"567 was achieved this quarter supported by valid evidence but however 98 was realized to have been overstated in q1 and is subtracted leading to  469 achievement to balance overall performance leading to end of financial year . There was an additional 30 applications which were rejected which affected the number of registered products. 
In addition. the Directorate lost 3 technical advisors within the last 10 months. These officials are the key role players in the evaluation of scientific data to register the Agricultural Inputs. This challenge has a negative impact in the number of registrations to be processed and finalised within the prescribed timeframes. 
","As lockdown restriction has been relaxed, more registration applications are being evaluated. Submission to the Minister to fill critical vacant posts has been made. Submission to appoint external technical advisors (consultants) has been made and undergoing departmental processes.
",,,1340,95,"There were 32 applications which were rejected and that affected the number of registered products. 
In addition, the Directorate lost 3 technical advisors within the last 10 months. These officials are the key role players in the evaluation of scientific data to register the Agricultural Inputs products. This challenge had a negative impact in the number of registrations to be processed and finalised within the prescribed timeframes. 

What further reduced the output and caused a rejection of registered products is that letters indicating registration of agricultural inputs to clients were rejected in this quarter. In previously quarters the letters were accepted despite the TID indicating the means of verification as a certificate . The letters were previously accepted because the Directorate could not print certificates during level 5 and level 3 lockdown but instead sent letters to clients informing them of their new registered products. 
","As lockdown restriction has been relaxed, more registration applications are being evaluated. Submission to the Minister to fill critical vacant posts has been made. Submission to appoint external technical advisors (consultants) has been made and approved. Selection processes are underway.
",,,3850,564,522,"There were 32 applications which were rejected and that affected the number of registered products. 
In addition, the department lost 3 technical advisors within the last 10 months. These officials are the key role players in the evaluation of scientific data to register the Agricultural Inputs products.  
",,,,522,98
,"Agriculture, Land Reform and Rural Development",National,"Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ","Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ",Quarterly,3.3.1 Number of new agricultural inputs products registered,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Social Protection, Community and Human Development cluster",0,,,,,,1200,"
722
","Staff turn- over: the Directorate lost 3 technical advisors within the last 10 months. These officials are the key role players in the evaluation of scientific data to register the Agricultural Inputs. This challenge has a negative impact in the number of registrations to be processed and finalised within the prescribed timeframes. There was an additional 20 applications which were rejected which affected the number of registered products.
","As lockdown restriction has been relaxed, more registration applications are being evaluated. Submission to the Minister to fill critical vacant posts has been made. Submission to appoint external technical advisors (consultants) has been made and undergoing departmental processes.
",,,1310,,,,,,1340,N/A,N/A,N/A,,,5350,722,0,N/A,,,,0,98
,"Agriculture, Land Reform and Rural Development",National,"Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ","Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ",Quarterly,3.3.1 Number of plant pest risk surveillances conducted,Non-Standardized,Not  Applicable,Protect and enhance our environmental assets and natural resources,Not Applicable,Progress report,"No surveillance took place during April 2020 and limited surveillance during May and June 2020. The Oriental Fruit fly was detected in all the provinces during the first quarter, including the areas declared free from this pest namely the Eastern, Western and Norther Cape: Not Achieved 
","Due to COVID-19 lockdown regulation no surveillance took place under level 5. Partial surveillance started during levels 4 and 3 as only 1/3 of the staff component could be allowed back at offices . No surveillance took place for Banana Bunchy top virus and partial surveillance for Citrus Greening Survey.
","Full surveillance could resume when COVID 19 lockdown regulations move to Level 2 
",,,Progress report ,Not applicable,Not applicable,Not applicable,,,Progress report ,"Quarterly progress report was compiled 
",n/a,n/a,,,3 pest surveillance conducted (Exotic fruit fly surveillance ; Citrus Greening Survey; banana bunchy top virus),N/A,N/A,N/A,,,3 pest surveillance conducted (Exotic fruit fly surveillance ; Citrus Greening Survey; banana bunchy top virus),-,No surveillance  was conducted ,"Due to COVID-19 lockdown regulation restrictions on movement of people, no planned surveillance took place in quarter 1.",,,,No surveillance was conducted,98
,"Agriculture, Land Reform and Rural Development",National,"Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ","Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ",Quarterly,3.3.2 Number of agricultural provincial biosecurity coordinating structures established,Non-Standardized,Not  Applicable,"An efficient, effective and development-oriented public service","The Social Protection, Community and Human Development cluster",Provincial consultations and workshops,"Draft concept document in preparation for 
consultation processes within the Branch and Provinces: Not Achieved 
","Delays in finalising the Concept document 
","Fast track the approval of the Concept document.
",,,Provincial consultations and workshops,"Concept document consulted with the branch and not yet with the provinces
Not Achieved","Concept note not finalized
","Finalizing of concept note en-route for approval by the DDG
",,,Provincial consultations and workshops,,,,,,9 provincial agricultural bio-security coordinating structures establised,N/A,N/A,N/A,,,9 provincial agricultural bio-security coordinating structures establised,-,"Draft concept document in preparation for consultation processes with  Provinces was discussed 
within the Branch
","The provincial consultations 
and 
workshops which were targeted for quarter one could not be done as the concept note was still in progress 
",,,,Draft concept document in preparation for consultation processes with provinces was discussed within the branch,98
,"Agriculture, Land Reform and Rural Development",National,"Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ","Programme 2.: Agricultural Production, Health, Food Safety, Natural Resources and Disaster Management ",Quarterly,3.3.2 Number of provincial agricultural bio-security coordinating structures establised,Non-Standardized,Not  Applicable,"Vibrant, equitable, sustainable rural communities contributing towards food security for all","The Social Protection, Community and Human Development cluster",-,,,,,,Provincial consultations and workshops,"Concept document consulted with the branch and not yet with the provinces.

Not achieved   
","Concept note not finalized
","Concept note en-route for approval by the DDG
",,,Provincial consultations and workshops,Request letters for consultation  have been sent to provinces. ,"A meeting has been scheduled for consultation with KZN on Thursday – 28th January 2021. For GP the HOD has given the greenlight to proceed with the establishment  of the structures. Mpumalanga and Gauteng provinces have positively responded. Consultation with MP province took place y on the 26th January 2021 .
","Consultations will be held virtually.
",,,"5 provincial agricultural bio-security coordinating structures establised ()GP, MP, LP,NW and FS","5 provincial agricultural biosecurity coordinating structures established (GP, MP, LP, NW and FS)
","Rigorous and intense consultations on the concept note were conducted which left little time for consultations of the terms of reference with the provinces for approval
","Consultations on the terms of reference for approval will continue in 2021/22 financial year
",,,"5 provincial agricultural bio-security coordinating structures establised ()GP, MP, LP,NW and FS",-,"Draft terms of reference have been developed.

",Rigorous and intense consultations on the concept note were conducted which left little time for consultations on the terms of reference with the provinces for approval,,,,Draft terms of reference have been developed.,98
