Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,OTP_Q1,National_Q4,UID
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of expenditure within the variance,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Growing the Economy,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,2 %,2 %,2 %,2 %,,"""Target achieved 

The department has spent 100 percent of its allocated budget  of R1 537 779 billion.""
",,,,,,,,,,,,,,,,,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of critical and funded posts filled within 6 months of advertisement,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,100 %,14.28 %,100 %,62 %,100 %,0.62% %,100 %,100 %,,,,,,,"Achieved, however the reason for deviation are confusing against the reported actual performance","The selection process was put on halt during the change of 6th administration
","The process has been reinstated and envisaged to be concluded by end of November 2024.
",N/A,"Not achieved, reason for deviation and corrective action provided.",,,Please provide the reason for the deviation and correction action statement.,"Not achieved, no reason for deviation and corrective action provided.",At the moment only posts approved by OTP are filled.,,Please expand on the reason for deviation.,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 1: Administration,Programme 1: Administration,Quarterly,"Percentage of people with disabilities employed,",Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",2 %,2 %,2 %,"2,3 %",2 %,2.57 %,2 %,"2,27%
 %",2 %,"2,3 %",,,,,,,Achieved as planned.,,,"The department is advised to ensure that all fields are populated. In areas where the reason for deviation and corrective action is not required please kindly put ""N/A"".",Achieved.,,,Please provide the reason for the deviation and correction action statement.,"Over-achieved, no reason for deviation provided.",,,Please provide reason for deviation.,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of procurement awarded to designated groups,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",90 %,93 %,90 %,95 %,90 %,96 %,90 %,98% %,90 %,,,,,,the target has been exceeded by 3% as there were more than enough supliers from the HDI's to supply goods and services to the Department.,,,"The target has been exceeded by 5% as most of the goods & services that the Department procures are from the HDI
",,"The department is advised to ensure that all fields are populated. In areas where the reason for deviation and corrective action is not required please kindly put ""N/A"".","Achieved, reason for deviation provided.","""Target achieved 

The target has been exceeded by 6% as most of the goods & services that the Department procures are from the HDI""
",,N/A,Achieved.,"""Target achieved 

The target has been exceeded by 8% as most of the goods & services that the Department procures are from the HDI""
",,,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of suppliers paid within 30-day period,Not Applicable,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,100 %,,,,,,,,,,,"The department is advised to ensure that all fields are populated. In areas where the reason for deviation and corrective action is not required please kindly put ""N/A"".",Achieved.,,,N/A,Achieved. ,,,,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of women maintained at SMS level,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",50 %,51 %,50 %,45.94 %,50 %,45.94 %,50 %,"48,57%
 %",50 %,51 %,,,,,"The target was exceeded since the the filling of Senior Management roles prioritised the attraction and selection of female candidates
",,Over-achieved reason for deviation provided.,"Target not achieved due to two (2) officials that exited the system on 31 August 2024.
","Posts will be prioritized for filling
",N/A,"Not achieved, reason for deviation and corrective action provided.",,"SMS posts to be prioritized for filling
",Kindly provide the reason for the deviation.,"Not achieved, no reason for deviation provided.","There was a difference of 1,43% between the planning target and actual achievement
",,"Target not achieved, please review reason for deviation and provide corrective action.",,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Annually,Number of books published on township/ villages.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,4,4,4,4,,No,,,,,,,,,,,,,,,,,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Quarterly,Number of community conversations / dialogues implemented to foster social interaction per year,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",9,9,7,7,6,3,6,5,28,24,,,,,,,Achieved as planned.,,,"The department is advised to ensure that all fields are populated. In areas where the reason for deviation and corrective action is not required please kindly put ""N/A"".",Achieved.,3 Community conversation were rescheduled for the 4th Quarter,,"Kindly revise reason for the deviation as it does not state why the target was not achieved. elaborate on my the outstanding project was rescheduled for February 2025. Lastly, please provide the corrective action statement.","Not achieved, reason for deviation provided but do not provide basis for rescheduling",Some community conversations were invalidated due to insufficient evidence.,,Please capture the reason for deviation and corrective action.,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Quarterly,Number of cultural exhibition staged.. ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Education and Skills Development ,"The Social Protection, Community and Human Development cluster",1,1,1,1,1,1,0,0,3,3,,,,,,,Achieved as planned.,,,"The department is advised to ensure that all fields are populated. In areas where the reason for deviation and corrective action is not required please kindly put ""N/A"".",Achieved.,No deviation,,N/A,Achieved. ,,,,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Quarterly,Number of cultural/ creative sector practitioners capacitated. ,Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",Education and Skills Development ,"The Social Protection, Community and Human Development cluster",100,119,300,369,240,194,100,25,740,707,,,,,Target exceeded due to popularity of some capacity building interventions.,,"Over-achieved, reason for deviation provided.",Popularity of some capacity development interventions increased numbers of people participating and were accommodated at no additional costs.,Stringent preparations and selections will be followed aimed at eliminating last minute registrations.,N/A,"Achieved, reason for deviation and corrective action achieved.",The reprioritization of budget led to  the postponement of some capacity development interventions,These capacity development will be implemented once financial position has improved.,Noted.,"Not achieved, reason for deviation and corrective action provided. The corrective action is generic, does not provide timelines",A beadwork course had to be rescheduled for next financial year due to financial constraints.,Review targets to align with available resources.,,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Quarterly,Number of initiatives implemented to raise awareness on the national symbols,Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",-,"Governance, State Capacity and Institutional Development cluster",10,10,5,9,0,0,5,5,20,24,,,,,,,Achieved as planned.,The Directorate was directed by the EA to prioritize the additional 4 projects.,They may be a scaling down on future projects,The department is advised to kindly revise the corrective action statement as it does not clearly state what the department is planning to do as a corrective measure to the deviation.,"Achieved, reason for deviation and corrective action provided.",No deviation,,N/A,No reporting required for the quarter under review.,,,,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Quarterly,Number of job opportunities created through marketing in the creative and cultural sector. ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",274,364,1725,534,422,520,374,140,2795,1558,,,,,A need arose to sponsor some events with Artists that were not planned for.,,"Over-achieved, no reason for deviation provided.",Numbers had to be cut down as many beneficiaries were paid by the third party.,Review TID's to accommodate this.,N/A,"Not achieved, reason for deviation and corrective action provided.",There were more emerging artists that were employed which resulted to savings and for this reason it was  possible for the department to hire more. ,Planning will factor in these unforeseen developments in future.,Noted.,"Over-achieved, reason for deviation and corrective action provided. ",Budget constraint prevented the department to implement other interventions that would have contributed to Job creation.,Target may need review in the 25/26 FY,,"target exceeded ,kindly provide reason for deviation and corrective action statements.",,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Quarterly,Number of multilingualism community awareness programmes conducted.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Education and Skills Development ,"The Social Protection, Community and Human Development cluster",0,0,0,0,2,1,0,1,2,2,,,,,,,No reporting required for the quarter under review. However progress made during the quarter will be appreciate to assess progress,,,"The department is advised to ensure that all fields are populated. In areas where the reason for deviation and corrective action is not required please kindly put ""N/A"".",No reporting required for the quarter under review.,Outstanding project was rescheduled for February 2025. ( Mother Tongue),,"Kindly revise reason for the deviation as it does not state why the target was not achieved. elaborate on my the outstanding project was rescheduled for February 2025. Lastly, please provide the corrective action statement.","Not achieved, reason for deviation provided but does not provide detail rational ",This projet was carried over from Quarter 3.,,Please expand on the reason for deviation.,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Quarterly,Number of museum outreach programmes implemented. ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Education and Skills Development ,"The Social Protection, Community and Human Development cluster",5,6,6,6,5,5,3,3,19,20,,,,,"Over achievement is due to Build-Up activities for Africa Day.

",,"Over-achieved, no reason for deviation and corrective action provided.",,,"The department is advised to ensure that all fields are populated. In areas where the reason for deviation and corrective action is not required please kindly put ""N/A"".",Achieved.,No deviation,,N/A,Achieved. ,,,,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 2: Cultural Affairs ,Programme 2: Cultural Affairs ,Quarterly,Number of significant days celebrated. ,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Education and Skills Development ,"The Social Protection, Community and Human Development cluster",3,3,3,3,2,1,2,3,10,10,,,,,,,Achieved as planned.,,,"The department is advised to ensure that all fields are populated. In areas where the reason for deviation and corrective action is not required please kindly put ""N/A"".",Achieved.,uMkhosi woSelwa was rescheduled for the fourth Quarter.,This was due to a directive from the Royal House.,Noted.,"Not achieved, reason for deviation and corrective action provided. ",One event was carried over from the 3rd on the direction from the Royal Household.,No required.,,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 3: Library and Archives Services ,Programme 3: Library and Archives Services ,Annually,Number of libraries established per year,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",,,,,,,2,2,2,2,,No,,,,,,,,,,,,,,,,,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 3: Library and Archives Services ,Programme 3: Library and Archives Services ,Quarterly,Number of public awareness programmes conducted about archival services,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",2,2,2,3,0,0,2,2,6,7,,,,,,,Achieved as planned.,Stakeholders requested the session to be held earlier than planned.,,"The department is advised to revise the reason for deviation as it does not provide an adequate reason for exceeding the planned target. Lastly, please kindly provide a corrective action.","Achieved, reason for deviation provided.",,,N/A,No reporting required for the quarter under review.,No,,,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 3: Library and Archives Services ,Programme 3: Library and Archives Services ,Quarterly,Number of records management training courses conducted.,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Build a caring and incorruptible government,"Governance, State Capacity and Institutional Development cluster",5,6,5,5,5,7,5,5,20,23,,,,,"Exceeded target due to adhoc 
request..",,"Over-achieved, reason for deviation provided.",,,"The department is advised to ensure that all fields are populated. In areas where the reason for deviation and corrective action is not required please kindly put ""N/A"".",Achieved.,Exceeded target due to Adhoc requests.,Not necessary at requesting offices fund training from their own budgets.,"Reason for deviation is noted. however, kindly revise the corrective action statement, provide measures to be taken to correct the deviation.","Over-achieved, reason for deviation and corrective action provided.",No,,,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Annually,Number of athletes supported through scientific support programme per year.m,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Education and Skills Development ,"The Social Protection, Community and Human Development cluster",,,,,,,100,100,100,100,,"The annual target was achieved and validated in Quarter 2. However, there is ongoing support of this programme through the Prime High-Performance Institute.
","Lack of tools to monitor the impact of the programme on talented athletes in the programme.
",,,,,,,,,,,,,,,,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Quarterly,Number of athletes supported by the sports academies,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",0,0,100,264,250,200,100,80,450,80,,,,,,,No reporting required for the quarter under review.,"The increase in the number of Academies receiving their funding through Transfer payments impacted on Academy programmes, allowing for additional talented athletes to be supported. Support is through scientific, technical, logistical, nutritional, medical and psychological interventions.
",,"Reason for deviation is note, however, the department is advised to ensure that all fields are populated. In areas where the reason for deviation and/ or corrective action is not required please kindly put ""N/A"".","Achieved, reason for deviation provided.","The increase in the number of Academies receiving their funding through Transfer payments impacted on Academy programmes, allowing for additional talented athletes to be supported. Support is through scientific, technical, logistical, nutritional, medical and psychological interventions.Overachievment of 3% against annual targets.
","Limited monitoringb of programmes implemented through the Academy Programmes.
","Reason for deviation is noted. However, please kindly revise the corrective action statement. elaborate on measures to be taken to correct the deviation.","Not achieved, reason for deviation and corrective action  provided.","The department supported the Academies programme wihch allowed for the support of additional athletes, as athletes from KwaMsane also received support. Support has been provided through scientific, technical, logistical, nutritional, medical and psychological interventions. Overachievement of 3% against annual targets.

","The lack of full capacity to monitor the programmes implemented by Academies has placed a limitation in the delivery of the Academy Programme.  

","Target not achieved, please expand on the reason for deviation.",,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Quarterly,Number of learners supported to participate in the national school sport championships.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Education and Skills Development ,"The Social Protection, Community and Human Development cluster",150,260,0,63,300,173,0,0,450,496,,,,,"The department supported the participation of selected provincial school sport teams to participate in the National Schools Track and Field Championships in Paarl and the National Schools Swimming Championships in Gqeberha during Quarter 1. This resulted in targets being over-achieved as the quarterly target was set conservatively.
","Sport ambassadors to be used to identify and nurture talent emerging out of theseelite competitions. These high-performaing athletes need to be subjetced to further training and development.
","Over-achieved,no reason for deviation provided.","The National CAF U15 Football Championships (Gauteng) and the National Schools Chess Championships (Gqeberha) were recheduled by National DSAC to Quarter 2 resulting in an over-achievement  against this target.
",,"Reason for deviation is note, however, the department is advised to ensure that all fields are populated. In areas where the reason for deviation and/ or corrective action is not required please kindly put ""N/A"".","No reporting required for the quarter under review, however there was progress of 63 reported.","Participation of Team KZN in the National Chess Tournament in Gqeberha from 25-29 Septmebr resulted in Annual Targets being over-achieved. The reduction of codes of sport and age-groups in the National Schools Summer Championships resulted in the size of the provincial contingents to the National Championships being reduced.
","Spiralling costs of accommodation and transport for the Provincial Trials and National Schools Championships. Budgets are limited to make proper impact in school sport.
","Reason for deviation is noted. However, please kindly revise the corrective action statement. elaborate on measures to be taken to correct the deviation.","Not achieved, reason for deviation and corrective action  provided.","The department supported the participation of selected provincial school sport teams to participate in the National Schools Track and Field Championships in Paarl and the National Schools Swimming Championships in Gqeberha during Quarter 1. This resulted in targets being over-achieved as the quarterly target was set conservatively.
","
Limited funding was available to support the selected teams with training camps and other developmental interventions to improve their performance. Very little is done to suuport talented athletes identified out of the national competitions.
",,"Target for the quarter exceeded, please provide reason for deviation and corrective action statement.",,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Quarterly,Number of major events supported.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Growing the Economy,"The Social Protection, Community and Human Development cluster",2,4,4,6,3,3,3,1,12,14,,,,,"The department supported the 7 Days War Marathon and Dondotha Sport Launch with Siyabonga Sangweni as additional major events in Quarter One. This was in addition to supporting the Khabba Cup and Derrick Spencer Sport Tournaments.
","Limit the support for major events and we are operating within a constrained fiscus. Only planned programmes to be supported.
","Over-achieved, reason for deviation and corrective action provided.","Amongst others the KZN Premiers Cup held in Ulundi, Syathaba and Mvelo Boxing Tournaments and Mathews Meyiwa Road Race were reported in Quarter Two. Target has been met.
",,"Reason for deviation is note, however, the department is advised to ensure that all fields are populated. In areas where the reason for deviation and/ or corrective action is not required please kindly put ""N/A"".","Achieved, reason for deviation provided.","Amongst others the Women's Boxing Bout and Tap Tap Makhatini Tournamets were held in December 2024 allowing for targets to be met. The annual target has been met and exceeded.
","Budget cuts limited the impact of the programme.
","Q3 target has been met, reason for deviation and corrective action statements are not necessitated. ",Achieved. No need for corrective action target achieved ,"The annual target has been met and exceeded. 
","The financial implications of hosting major events are high and the impact thereof not always measurable
","The Q4 target not achieved, please review reason for deviation.",,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Quarterly,Number of organized sport and recreation activities in communities...,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Education and Skills Development ,"The Social Protection, Community and Human Development cluster",38,0,32,56,10,34,2,0,82,90,,,,,"Events were postponed as a results of the delays in the internal approval process  
","Projects were moved to the 2nd quarter
","Not achieved, no reason for deviation and corrective action provided.","Recreation events postponed in the first quarter were implemented in the second quarter resulting in over-achievement of the Quarter 2 target by 60%. The mid-term target has also been exceeded.
",,"Reason for deviation is note, however, the department is advised to ensure that all fields are populated. In areas where the reason for deviation and/ or corrective action is not required please kindly put ""N/A"".","Achieved, reason for deviation provided.","The outstanding sport and recreation activities were completed in Q3 to meet the demand from communities. 
","Limited budgets prevented the department from expanding its services.
","Reason for deviation is noted. However, please kindly revise the corrective action statement. elaborate on measures to be taken to correct the deviation.","Over-achieved, reason for deviation and corrective action provided. Corrective
actions does not support  the over-achievement ","No activities were scheduled for the fourth quarter except a non-funded event the Department supported with medals and trophies. The annual target was met. 
",,"Please review the reason for deviation provided, there is a target of 2 not met in this quarter, and provide the corrective action.","Target for the quarter not met, please provide reason for deviation and corrective action statement.",,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Quarterly,Number of recreation programmes implemented..,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Education and Skills Development ,"The Social Protection, Community and Human Development cluster",0,0,0,0,4,5,3,2,7,7,,,,,,,No reporting required for the quarter under review.,"Q3/4 Target
",,N/A,No reporting required for the quarter under review.,"The department was able to close-out on the following annual recreation programmes: Faith-Based Games (Amabandla), Traditional Horseracing, Indigenous Games, Work and Play, Recre-Hab Programmes. Target was exceeded by one as as the Faith-based Games were completed ahead of schedule.
","Serious funding challenges which limited the impact of the programmes. Organised Recreation is grossly unfunded with costs escalating and budget reductions being incurred over the previous MTEF.
","Reason for deviation is noted. However, please kindly revise the corrective action statement. elaborate on measures to be taken to correct the deviation.","Over-achieved, reason for deviation and corrective
action provided.","All seven flagship programmes of the unit namely Traditional Horseracing, Golden Games, Work and Play, Amabandla, Recrehab , Indigenous Games and Water Safety were fully implemented in all districts. Popular events of the unit such as the Dundee July, Harry Gwala Summer Cup and Work and Play Interdepartmental Games were succefully hosted. As part of Womens Month commemmorartions, DSAC partnered with the Methodist Church Womens Organization and hostded the National Sorts and Recreation Day in eThekwini on 10 August 2024. On sport against crime, we supported the KZN SAPS Sports Day.
","Not all districts implemented all the programmes, and thereby limiting the scope, reach and impact.  

",Target not achieved please review the corrective action.,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Quarterly,"Number of schools, hubs and clubs provided with equipment and/or attire to enable participation in sport and or recreation",Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,-,"The Social Protection, Community and Human Development cluster",240,281,496,699,326,261,50,131,1112,1372,,,,,"The additional support to schools and clubs resulted in this target being over-achieved by 12,5%. Six districts managed to support registerecd schools with equipment. King Cetshwayo District were able to support their clubs with equipment witna dditional clubs being supported by Head Office. This accounted for the target being over-achieved.","Need for DoE to commit budgets to school sport and to seek other sources of income (sponsors, NGO's) to increase support. Rural clubs also require more than the 2/3 footballs and other training equipment that the department is able to provide. ","Over-achieved, reason for deviation and corrective action provided.","Whilst School Sport under-achieved for Quarter 2 by 22%, there was an increase in the number of Hubs and Clubs supported with equipment. Within Community Recreation (Siyadlala) a number of aerobic clubs acting as Hubs were also supported. Targets from Quarter 3 in club development was brought forward to Quarter 2 to coincide with the SAFA and KZN Netball scheduled programmes. 
",,"Reason for deviation is note, however, the department is advised to ensure that all fields are populated. In areas where the reason for deviation and/ or corrective action is not required please kindly put ""N/A"".","Achieved, reason for deviation provided.","There was an increase in the number of Schools, Hubs and Clubs supported with equipment and attire. Within Community Recreation (Siyadlala) a number of aerobic clubs acting as Hubs were also supported. Club Development was able to achieve its  annual target in spite of under-acahievment against Q3 targets. This was due to districts not submitting their close-out reports timeously thus carrying these achievements over to Q4.
","Limited allocations through the Grant to make a maeningful impact. Districts slow to implement and comply with National TIDs. 
","Reason for deviation is noted. However, please kindly revise the corrective action statement. elaborate on measures to be taken to correct the deviation.","Not achieved, reason for deviation and corrective action provided. ","There was an increase in the number of Schools, Hubs and Clubs supported with equipment and attire. Within Community Recreation (Siyadlala) a number of aerobic clubs acting as Hubs were also supported. Club Development was able to achieve its  annual target in spite of under-acahievment against Q3 targets. In the 4th Quarter Club Development was also able to support the clubs not supported in previous quarters
","Limited allocations through the Grant to make a meaningful impact. Districts slow to implement and comply with National TIDs. 
",,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Quarterly,Number of sport academies supported.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Education and Skills Development ,"The Social Protection, Community and Human Development cluster",1,1,3,4,2,1,0,2,6,8,,,,,,,Achieved as planned.,"The department was able to effect transfers to a number of academies in Quarter 2. Amongst others the KZN Canoe Academy, Sharks Academy and the Dolphins Academy were supported financially. This resulted in targets for Quarter 2 
",,"kindly revise the reason for deviation and ensure that all fields are populated. where the corrective action statement is not require kindly put ""N/A""","Achieved, reason for deviation provided.","The over-achievement against this target in Q2 restricted the department from achieving at 100% of its Q3 target. The KZN Goalkeepers Academy was supported in Q3. The annual target has been met. 
","District Academies are not implemented in all 11 districts due to funding challenges within Municipalities.
","Reason for deviation is noted. However, please kindly revise the corrective action statement. elaborate on measures to be taken to correct the deviation.","Not achieved, reason for deviation and corrective action  provided.
","Two academies were supported in the 4th Quarter. KwaMsane was provided with equipment due to wear and tear of the existing equipment that needed to be replenished. Midlands Academy of Sport also received its transfer in the 4th Quarter 
","Midlands District Academy of Sport had compliance matters they needed to address and were only able to receive their transfer in the 4th Quarter. The impact of the transfer cannot be measured in the 4th Quarter. The Department will also embark on a process of re-energising the PRovincial Academy and setting up District Academies in the new financial year
",,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Quarterly,Number of sport and recreation assistants appointed on contract.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Job Creation,"The Social Protection, Community and Human Development cluster",373,214,373,444,373,444,373,444,373,1546,,,,,"Delays in the recruitment of sport and recreation assistants has resulted in the department increasing the number of assistants appointed. Savings from compensation was utilised to employ additional sport and recreation assistants. Due to the delays in the  appointment the club, recreation and healthy lifestyle coordinators employed have not been reported on.

","Use of Sport Confederations, Federations, Principals of schools to monitor the work of coordinators. If this is not done there will be little impact on the ground.
","Not achieved, reason for deviation and corrective action  provided.","The department has prioritised the creation of job opportunities. The over-achievement of this target by 19% is due to savings in compensation brought about by the delays in the recruitment process. The General Election had a negative impact on our recruitment processes. This is a cumulative target and does not include job opportunities created by sport federations using transfer payments. 
",,"Reason for deviation is note, however, the department is advised to ensure that all fields are populated. In areas where the reason for deviation and/ or corrective action is not required please kindly put ""N/A"".","Achieved, reason for deviation provided.","The department has prioritised the creation of job opportunities. The over-achievement of this target  is due to savings in compensation brought about by the delays in the recruitment process. The General Election had a negative impact on our recruitment processes. This is a cumulative target and does not include job opportunities created by sport federations using transfer payments. 
","Delays in the recruitment process which impacts on the delivery of the programme
","Reason for deviation is noted. However, please kindly revise the corrective action statement. elaborate on measures to be taken to correct the deviation.","Over-achieved, reason for deviation and corrective action provided. Corrective action are not in sync with over-achievement",The department has prioritised the creation of job opportunities. The over-achievement of this target is due to savings in compensation brought about by the delays in the recruitment process. The General Election had a negative impact on our recruitment processes. This is a cumulative target and does not include job opportunities created by sport federations using transfer payments.,,,,,100
,"Sport, Arts and Culture",KwaZulu-Natal,Programme 4: Sport and Recreation,Programme 4: Sport and Recreation,Quarterly,Number of sport and recreation campaigns implemented...,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Education and Skills Development ,"The Social Protection, Community and Human Development cluster",2,5,4,4,4,2,1,0,11,11,,,,,"The department supported the LGBTQI+ Programme in Kokstad, Help a Child in Mlazi and Khuzimpi as additional campaigns due to the needs identified. These campigns were desgined to address key challenges identified and use the medium of sport to send positive messaging.
","Anti GBV programmes must be highlghted during the 16 days of Activism and the SA Men Run to be used as the key Men's Month Programme.
","Over-achieved, reason for deviation provided.","Districts were allocated budgets for prioritised campaigns and a number of them were able to implement campaigns to coincide with Youth Month, Women's Month and GBV. The department exceeded the Quarter 2 target as programmes at districts were rescheduled. The annual target is projected to be over-achieved due to increase in cases of GBV and need for department to conduct prioritised campaigns.
",,"Reason for deviation is note, however, the department is advised to ensure that all fields are populated. In areas where the reason for deviation and/ or corrective action is not required please kindly put ""N/A"".",Achieved.,"Districts were allocated budgets for prioritised campaigns and a number of them were able to implement campaigns to coincide with 16 days of Activism. Inaddition capaigns were alos held in partnership with Community Safety and the NPA in Ntuzuma and Verulam to curb thegross abuse of children's rights. The annual target is over-achieved due to increase in cases of GBV and need for department to conduct prioritised campaigns.
","Limited funding and lack of cooperation from sector departments and agencies to deal meaningfully with the challenge of GBV.
","Reason for deviation is noted. However, please kindly revise the corrective action statement. elaborate on measures to be taken to correct the deviation.","Not achieved, reason for deviation and corrective action  provided.","The annual target was met. This included the district targets for prioritised campaings as well as special interventions in partnership with the Department of Community Safety and the NPA in Ntuzuma and Verulam to curb the gross abuse of children's rights. The annual target is over-achieved due to increase in cases of GBV and need for department to partner other organizations' for these prioritized campaigns.

","Limited funding and lack of cooperation from sector departments and agencies to deal meaningfully with the challenge of GBV and other social ills.
",,,,100
