Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q3,DesiredPerformance,National_Q1,National_Q3,National_Q4,OTP_Q1,UID
,Cooperative Governance,North West,Programme 4: Traditional Affairs,Programme 4: Traditional Affairs,Quarterly,Number of Houses of Traditional & Khoisan Leaders supported to perform their functions,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",4,4,4,4 Houses of Traditional & Khoisan Leaders supported to perform their functions.,4,4 Houses of Traditional & Khoisan Leaders supported to perform their functions,4,4 Houses of Traditional & Khoisan Leaders supported to perform their functions,4,4,4,None,None,,None,None,None,None,None,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 4: Traditional Affairs,Programme 4: Traditional Affairs,Quarterly,"Number of reports on Initiation Schools complying with the Customary Initiation Act, 2021 (Act No. 2 of 2021).",Non-Standardized,Not  Applicable,"Priority 3: Education, Skills And Health",1. Water and sanitation (2019-2024),"Governance, State Capacity and Institutional Development cluster",0,0,1,1 report on Initiation Schools complying with the Customary Initiation was produced.,0,0,1,1 report on Initiation Schools complying with the Customary Initiation Act produced,2,1,2,None,None,,None,None,None,None,None,None,None,None,,,,,,,100
,Cooperative Governance,North West,Programme 4: Traditional Affairs,Programme 4: Traditional Affairs,Quarterly,Number of Traditional councils supported to perform their functions.,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",92,92,92,"93 Traditional Councils supported their functions.
",92,93 Traditional Councils supported to perform their functions,92,"93 Traditional Councils supported to perform their functions.
 
",92,92,93,Mantserre Traditional council was previously not supports by grant and it is now supported,None,,None,None,Mantserre Traditional Council was previously not supported by grant and is now supported in the second quarter,None,Mantserre Traditional Council was previously not supported by grant and is now supported in the third quarter.,None,Mantserre Traditional Council was previously not supported by grant and is now supported,None,Provide reasons for viriance ,,,,,,100
,Cooperative Governance,North West,Programme 4: Traditional Affairs,Programme 4: Traditional Affairs,Quarterly,Percentage of succession disputes/claims processed ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Eradication of Corruption,"Governance, State Capacity and Institutional Development cluster",0,0,15% (3),(15%) 3 Traditional Leadership succession  disputes/claims processed,0,0,15% (3),Not achieved,30% (6),-,15% (3),Delay in gazetting of section 59 Investigative committees by government printing,The investigative committees will commence in April 2025,,None,None,None,None,None,None,There were delays with the gazetting of Section 59 Investigative Committees by government printing. ,"The 3 investigative Committees for Bahurutshe Ba Ga Moiloa; Bakubung Ba Ratheo; Bahurutshe Boo Manyana; Bakwena Ba Mogopa will commence work in April 2025. 
",,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Annually,1. Number of SCM Policies Reviewed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,1,1,1,1,1,None,None,,,,,,,,,,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Annually,2. Number of communication strategies Reviewed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,1,1,1,1,1,None,None,,,,,,,,,,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Quarterly,1. Number of performance monitoring reports compiled in Governance Structures,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",1,1,1,,1,"APP Retabled 

[Target not changed, amendments on Indicator only]",1,APP Re-tabled,4,1,1,None,none,,None,None,,,"APP Retabled 

[Target not changed, amendments on Indicator only]","APP Retabled 

[Target not changed, amendments on Indicator only]",APP Re-tabled,APP Re-tabled,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 1: Administration,Sub Programme 1.3: Corporate Services,Quarterly,Number of performance monitoring reports compiled in-line with Governance Structures  ,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Economic Growth and Job Creation,Not Applicable,1,,1,1,1,1,1,1,4,1,1,None,None,,,,None,None,None,None,None,None,,Actual performance higher than targeted performance is desired,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 1: Administration,Sub Programme 1.4: Financial Management,Annually,1. Percentage of outstanding PAAP resolved,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,95 %,100 %,95 %,100 %,100,"PAAP Reporting and monitoring was a standing item in the management and extended management meetings.
Some of the actions were implemented during the subsistence of the audit i.e. Standardized Indicators and CAATs findings.",Current controls will be maintained to ensure achievement of the set targets,,,,,,,,,,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 1: Administration,Sub Programme 1.4: Financial Management,Annually,2. Percentage elimination of Wasteful & Fruitless Expenditure,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,75 %,97 %,75 %,97 %,97,"Implementation of control measures such as creation of blanket orders, sending suppliers proof of payment, follow-up on outstanding invoices, and engagements with the affected suppliers.",Current controls will be maintained to ensure achievement of the set targets,,,,,,,,,,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 1: Administration,Sub Programme 1.4: Financial Management,Annually,3. Percentage of Irregular Expenditure addressed,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,70 %,100 %,70 %,100 %,100,"The main contributor to the departmental irregular expenditure was security services. 
The Department has since finalized procurement of security services for all department sites.
The department has further terminated G4S security with the effect from the 30 November 2024.",Current controls will be maintained to ensure achievement of the set targets,,,,,,,,,,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 1: Administration,Sub Programme 1.4: Financial Management,Annually,4. Percentage preferential procurement spend on Enterprises that are Women-Owned,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,40 %,36.78 %,40 %,36.78 %,36.78,"Under performance by 3,22 % due to most of procurement is from the predetermined panel of service providers ",The department will review the quotation sourcing strategy.,,,,,,,,,,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 1: Administration,Sub Programme 1.4: Financial Management,Annually,5. Percentage preferential procurement spend on Enterprises that are Youth-Owned,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,15 %,15 %,15 %,15 %,15,None,None,,,,,,,,,,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 1: Administration,Sub Programme 1.4: Financial Management,Annually,6. Percentage preferential procurement spend on enterprises that are People with Disability (PWD)-Owned,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",,,,,,,7 %,0.68 %,7 %,0.68 %,0.68,"Under performance by 6,32% due to most procurement is from the predetermined panel of service providers.
Although the percentage allocation is along National demographics which is 7,5%,the assumption seems to point to every disabled person owning a business and able to participate in the departmental specific goal share and this has proven to be a difficult goal to achieve.
",The department will review the procurement policy to attract more PWD enterprises.,,,,,,,,,,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.1: Agricultural Engineering Services,Quarterly,Number of agricultural infrastructure established,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,0,,25,APP Retabled,57,APP Retabled ,82,0,0,APP was re-tabled during period under review as per DPME directive. ,,,"None, this indicator is not targeted for in the quarter under review",None,,,APP Retabled,APP Retabled,APP Retabled ,APP Retabled ,Output not reported and the reason for deviation is not clear. Please indicator if the indicator is removed or targets are adjusted. This will assist in assessment of the correct number indicators,,Noted,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.1: Agricultural Engineering Services,Quarterly,Number of agricultural infrastructure established ,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Growth and Job Creation,Not Applicable,0,,0,0,0,0,82,82,82,82,82,None,None,,,,Indicator not targeted for the Quarter under review ,None,"None.

Indicator targeted for Q4",Targeted for Q4,None,None,,Higher performance is desired ,,None ,None.,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Annually,Number of hectares of cultivated land under Conservation Agriculture practices,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,2000,2057,2000,2057,2057,More awareness efforts from both the officials and the farmers who have already reaped the benefits of practicing CA,Consider more awareness efforts during planning phase,,,,,,,,,,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Quarterly,Number of green jobs created,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,128,122,0,6,0,0,128,128,128,,,,"None, this indicator is not targeted for in the quarter under review",None,"The initial target was 128, and only 122 could be achieved. Eight  [08] people who were recruited to these positions found employment elsewhere while internal processes were unfolding in the Department ",Work is in progress to replace the shortfall,"Total of 06 workers were appointed in Q3 as part of measures to offset the shortfall of Green Jobs that were not achieved in Q2, due to resignations",Strengthening of working relations with community structures to ensure that people who sign contracts do not renege in during the course of the programme,None,None,,,Noted,Reason for deviation and corrective action noted ,None,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.2: Land Care,Quarterly,Number of hectares of agricultural land rehabilitated,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,370,83,449,798,400,427,1219,1308,1291,,,,"None, this indicator is not targeted for in the quarter under review",None,"Labour  intensitivity, due to late delivery of Tools (Chainsaws) and Fuel and lubricants. More manual labour using bow saws was utilised",Chemical application during the coming rain season,Over-achievement accounting for the shortfall of Hectares that were not achieved in Quarter 2,"Consider planning & workshops with community structures before start of the programme, to ensure understanding and compliance ","Improved monitoring of the projects, and favorable conditions by the rainfall which caused the chemical control method to become more effective.",Consider  target spread during planning phase,,,Noted,178% achievement. Reason for deviation and corrective action are noted, Reason for deviation provided,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.3: Land Use Management,Annually,Number of agro-ecosystem management plans developed,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",,,,,,,4,4,4,4,4,None,None ,,,,,,,,,,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.3: Land Use Management,Quarterly,3. Number of Farmers provided with agricultural mechanization  technical advice,Non-Standardized,Max,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",80,80,60,60,60,60,50,50,250,80,250,,,,None ,None ,None,None,None,None,None,None,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.3: Land Use Management,Quarterly,Number of farm management plans developed,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",6,6,6,6,6,9,6,6,24,27,24,,,,None ,None ,None ,None,Over-achievement addressing the shortfall of 03 Plans that were not achieved in Quarter 2,Proper planning and execution by land use programme officials will be enforced to ensure alignment in the next planning cycle ,None,None,,,noted,150% achievement. Reason for deviation and corrective action well captured,None ,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.4: Disaster Risk Reduction,Quarterly,Number of awareness campaigns on disaster risk reduction conducted,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",10,10,38,30,33,41,15,15,96,96,96,,,,None ,None ,"Due to short supply of some of the resources, the set target could not be reached","The problem mentioned has been partially resolved, giving us the opportunity to Plan adding the shortfall to the target of Q3, and do more awareness campaigns",Over-achievement addressing the shortfall of 08 Awareness Campaigns that were not conducted in Quarter 2,"All shortfalls addressed to date. Thus, performance to offset in the subsequent quarter",None,None,,, noted,124% achievement. Reason for deviation and corrective action noted ,None,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 2: Sustainable Resource Use and Management,Sub Programme 2.4: Disaster Risk Reduction,Quarterly,Number of surveys on uptake for early warning information conducted,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",0,0,1,1,0,0,1,1,2,2,2,,,,"None, this indicator is not targeted for in the quarter under review",None ,None,None,"None.

Indicator targeted for Q4",Targeted for Q4,None,None,,,noted,None ,None,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,No. of Producers supported in the Citrus Commodity ,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Growth and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1,,0,0,0,0,0,0,1,0,0,,,,,,None ,None,"None.

Indicator targeted for Q4",Targeted for Q4,None,None,,Higher performance is desired,,None ,None,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,No. of Producers supported in the Cotton Commodity ,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Growth and Job Creation,Not Applicable,1,,0,0,0,0,0,0,1,0,0,,,,,,None,None,"None.

Indicator targeted for Q4",Targeted for Q4,None,None,,Higher performance is desired ,,None,None,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,No. of Producers supported in the Grain Commodity ,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Growth and Job Creation,Not Applicable,5,,0,19,75,77,0,53,80,149,149,,,,,,Procurement of grain production inputs was faster than anticipated,Planning to take into account over the counter production inputs,Savings during implementation enabled more farmers to be supported than planned.,Market analysis of prices will reduce the variance between planned and actual cost.,Procurement of production inputs in bulk resulted in savings which was utilized to subsidize farmers that were ready for planting,Improved planning to consider market cost trends of seeds during planning,,Higher performance is desired ,,103% achievement. Reason for deviation and corrective action noted,Reason for deviation is noted,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,No. of Producers supported in the Red Meat Commodity ,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Growth and Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",30,,193,217,232,191,60,413,515,413,839,,,,,,"After the late approval of project list, efforts were made to cover for Quarter 1 shortfall which led to over achievement",Planning to take into account fast procurement processes and delays in projects approval,Service providers for handling facilities could not complete work within the quarter due to shortage of materials from the manufacturer,Recovery plan put in place in order to ensure that materials are made  available for the work to be completed in Q4,Rolled over projects enabled over achievement,Improved planning to consider rollover projects,,Higher performance is desired,,82% achievement. Reason for deviation and corrective action noted and well captured,Reason for deviation and corrective action noted.,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,Number of producers supported in the Citrus Commodity,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",1,0,1,,1,APP Retabled,1,APP Re-tabled,4,0,0,APP was re-tabled during period under review as per DPME directive. ,,," 	
Delay in approval of projects and release of funds to implement"," 	
National to fast-track project approval",,,APP Retabled,APP Retabled,APP Re-tabled,APP Re-tabled,Output not reported and the reason for deviation is not clear. Please indicator if the indicator is removed or targets are adjusted. This will assist in assessment of the correct number indicators,,Noted,,,Department to develop an improvement plan with clear deadlines on how the department will recover ,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,Number of producers supported in the Cotton Commodity,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",1,0,1,,1,APP Retabled,0,APP Re-tabled,3,0,0,APP was re-tabled during period under review as per DPME directive. ,,," 	
Delay in approval of projects and release of funds to implement"," 	
National to fast-track project approval",,,APP Retabled,APP Retabled,APP Re-tabled,APP Re-tabled,Output not reported and the reason for deviation is not clear. Please indicator if the indicator is removed or targets are adjusted. This will assist in assessment of the correct number indicators,,Noted,,,Department to develop an improvement plan with clear deadlines on how the department will recover ,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,Number of producers supported in the Grain Commodity,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",5,0,10,,65,APP Retabled,0,APP Re-tabled,80,0,0,APP was re-tabled during period under review as per DPME directive. ,,," 	
Delay in approval of projects and release of funds to implement"," 	
National to fast-track project approval",,,APP Retabled,APP Retabled,APP Re-tabled,APP Re-tabled,Output not reported and the reason for deviation is not clear. Please indicator if the indicator is removed or targets are adjusted. This will assist in assessment of the correct number indicators,,Noted,,,Department to develop an improvement plan with clear deadlines on how the department will recover ,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.1: Producer Support Services,Quarterly,Number of producers supported in the Red Meat Commodity,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",30,18,234,,231,APP Retabled,60,APP Re-tabled,555,18,18,APP was re-tabled during period under review as per DPME directive. ,,,Delay in approval of projects and release of funds (Actual output of 18 reported is from roll over projects),National to fast-track project approval ,,,APP Retabled,APP Retabled,APP Re-tabled,APP Re-tabled,Output not reported and the reason for deviation is not clear. Please indicator if the indicator is removed or targets are adjusted. This will assist in assessment of the correct number indicators,,"Noted
",,,Department to develop an improvement plan with clear deadlines on how the department will recover ,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.3: Food Security,Quarterly,3. Number of Hectares planted for Food Production,Non-Standardized,Not  Applicable,"Priority 1: A Capable, Ethical and Developmental State",Job Creation,"Governance, State Capacity and Institutional Development cluster",0,0,0,0,0,0,5000,9858,5000,9858,9858,,,,"None, this indicator is not targeted for in the quarter under review",None ,Indicator not targeted for the Quarter review  ,None,"None.

Indicator targeted for Q4",Targeted for Q4,Procurement of production inputs in bulk resulted in savings which was utilized to subsidize farmers that were ready for planting,Improved planning to consider market cost trends of seeds during planning,,,,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.3: Food Security,Quarterly,Number of smallholder producers supported,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",40,31,80,,50,APP Retabled,53,APP Re-tabled,223,31,31,APP was re-tabled during period under review as per DPME directive. ,,,Late approval of funds resulted in project  implementation delays,National to fast-track approval of funds,,,APP Retabled,APP Retabled,APP Re-tabled,APP Re-tabled,,,Noted,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.3: Food Security,Quarterly,Number of Smallholder Producers Supported,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Growth and Job Creation,Not Applicable,40,,30,78,62,4,53,106,185,188,219,,,,,,"After the late approval of project list, efforts were made to cover for quarter 1 shortfall which led to over-achievement",Planning to take into account quicker procurement processes and delays in projects approval,"Late approval of pre-qualified database of service providers for boreholes led to late implementation of projects, which resulted in provision of lesser support than planned","Service providers have commenced on site and Recovery plan put in place to avoid delays in ensuring that work is completed by Q4

Pre-qualified Database for Boreholes in place for 3Years period, effective Sept 2024 – Sept 2027 
 
",Rolled over projects enabled over achievement,Improved planning to consider rollover projects,,Higher performance is desired,,Internal processes and system need to be strengthened to ensure that service delivery is not compromised. The reason leading to late approval is not well captured; corrective action does not address mitigation of the late approval.,Reason for deviation is noted,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 3: Agricultural Producer Support and Development ,Sub Programme 3.3: Food Security,Quarterly,Number of subsistence producers supported,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",300,300,800,814,800,828,600,596,2500,2538,2538,,,,None,None,"Delivery of goats in Dr Kenneth Kaunda District was planned for quarter 3, however the service provider's quick acquisition of goats led to earlier delivery than anticipated",Planning to take into account the possibilities of quicker Departmental procurement processes and that of the service provider,"Utilization of own Departmental resources such as produce from Kgora Farmer Training Centre and Potchefstroom College of Agriculture, led to support of more households than planned",Department provides support to indigent households from its own resources as and when there's a need due to increased efforts to alleviate poverty and food insecurity in the Province,Target achieved in previous quarters,Improved planning to ensure targets are achieved as target per quarter,,,Noted,105% achievement. Reason for deviation and corrective action noted,none,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 4:  Veterinary Services,Sub Programme 4.1:	Animal Health,Quarterly,Number of samples collected for targeted animal disease surveillance,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",840,1507,231, 	673,840,2 068,231,633,2142,4881,4881,,,,The variation is caused by increased surveillance of rural chickens for Avian Influenza over and above the prescribed protocol which gives more confidence on the prevalence testing,None. This is a demand-driven indicator ,The variation is caused by increased surveillance of rural chickens for Avian Influenza over and above the prescribed protocol which gives more confidence on the prevalence testing,The surveillance protocol is designed to be implemented periodically. After this semester activities will decrease  and performance go back to the norm,"Due to recent Avian Influenza [AI] outbreaks, it was desirable that more samples be collected to give confidence on the knowledge of the status of the disease, resulted in over-achievement","Strengthening the implementation of Veterinary Regulatory Protocols to improve biosecurity, will lead to lower prevalences of Avian Influenza. Once the threat has been reduced, sampling will also normalise",The variance is caused by the season for Avian Influenza survey which happens semesterly.,The performance will revert back to the mean after the pass of the season,,,Reason for deviation and the corrective action for over achievement is noted,246% achievement. Reason for deviation and corrective action noted, Reason for deviation and corrective action are noted,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 4:  Veterinary Services,Sub Programme 4.1:	Animal Health,Quarterly,Number of visits to epidemiological units for veterinary interventions,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",2595,4597,3000, 	4 871,2195,4 148,2595,3788,10385,17404,17404,,,,"The variation is caused by the increased number of interventions that are encountered because of outbreak of diseases. Examples of such diseases are FMD, Avian Influenza etc",None. This is a demand-driven indicator and shows positive development,There were more visits to epidemiological units than planned. This was because of activities that are related to the build-up of the rabies month in September 2024,The activities will revert back to normal as soon as the Rabies month passes on. Performance will revert back to the norm,"Because of recent outbreaks of Controlled Diseases   (Foot & Mouth Disease-FMD, Avian Influenza; etc) there was increased need to put measures in place for proactive investigations, surveillance, mitigation activities to react & prevent future occurrences, hence more interventions were recorded [ie.: Veterinary extensions, vaccinations, etc]  ","Strengthening current measures to ensure early warning, prevent and react to disease outbreaks",There was an increase in the number of visits to epidemiological unit that is caused by the season for Avian Influenza survey which happens semesterly. ,The target will be made in line with the average performance for the year,,,177% achievement is noted,189% achievement. Reason for deviation and corrective action noted,Reason for deviation and corrective action is noted,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 4:  Veterinary Services,Sub Programme 4.2: Veterinary International Trade Facilitation,Quarterly,Number of veterinary certificates issued for export facilitation,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",510,501,510,,510,APP Retabled,510,APP Re-tabled,2040,501,501,APP was re-tabled during period under review as per DPME directive. ,,,There were lesser exports that were facilitated this quarter than were targeted,The shortfall will be recovered as the year progresses,,,APP Retabled,APP Retabled,APP Re-tabled,APP Re-tabled,Output not reported and the reason for deviation is not clear. Please indicator if the indicator is removed or targets are adjusted. This will assist in assessment of the correct number indicators,,Noted,,,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 4:  Veterinary Services,Sub Programme 4.2: Veterinary International Trade Facilitation,Quarterly,Number of veterinary certificates issued for export facilitation,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,Economic Growth and Job Creation,Not Applicable,510,,374,544,374,606,374,478,1632,1628,2129,,,,,,The reason for the variance is because of clearing of pockets of FMD outbreaks which leads to concessions for exported in different districts being made and trade happening and being opened,The overperformance will revert back to normal after the backlog have been addressed,"Due to opening of trade with South Africa after control of major trade diseases of economic importance (i.e: FMD, AI) as well as renewal of trade agreements for Export of Animals and Animal products with various countries [i.e: Middle East, African; Oriental countries, etc], there were increased opportunities for export",To adjust the target              to be in line with the enhanced state of trade for the country in the next planning cycle,The variance is caused by increase in exports because of controlling the trade barrier diseases,The target for the following financial year will be based on this year’s performance,,Improved economic development ,,"Performance is 149%, against a target of 408 as captured in the approved Re-tabled APP. Reason for deviation is noted",Reason for deviation and corrective action is noted,,100
"Agriculture, Forestry and Fisheries",Agriculture,North West,Programme 4:  Veterinary Services,Sub Programme 4.3: Veterinary Public Health,Quarterly,Number of inspections conducted on facilities producing meat,Standardized,Not  Applicable,"Priority 5: Spatial Integration, Human Settlements and Local Government",-,"The Economic Sectors, Employment and Infrastructure Development cluster",99,115,88,132,99,113,88,108,374,468,468,,,,The variation is caused by the follow-up visits to abattoirs to clear up non-conformances,None. This is a Demand-driven indicator ,The variation is caused by the follow-up visits to abattoirs to clear up non-conformance's,The follow-up visits will reduce as more compliance by abattoirs is attained,"Due to non-conformances that were identified during the period under review, there were follow-up visits conducted to ensure close monitoring on corrections that were required, hence the increase on the visits ","Strengthen and enforce implementation of the Act to ensure continued compliance by Abattoirs, will minimise visits ",The variance is caused by follow-up visits to abattoirs whilst seeking to clear non-conformances,"As more and more compliance by abattoirs is attained, the need for follow up visits will diminish and the performance will revert to what is expected",,,Noted,114% achievement.   Reason for deviation and  corrective action are noted,Reason for deviation and corrective action are noted,,100
